Code,Name,Sales Price,Actual Quantity,Free Stock Quantity,Standard Cost,Manufacturer,Quantity on POP Order,Inactive Date
SPICAR03,Chef William Whole Green Cardamom Pods 285gm,21.10000,6.00000,6.00000,14.13166,SLE001,0.00000,
SPICHI003,Triple Lion Mild Chilli Powder 400gm,4.40000,0.00000,0.00000,3.03000,SPL001,6.00000,
SPICHI004,Triple Lion Mild Chilli Powder 450gm,4.85000,0.00000,0.00000,2.83333,SPL001,0.00000,24/11/2025
SPICHI005,Chef William Chilli Powder 450gm,4.85000,4.00000,4.00000,2.44166,SLE001,0.00000,
SPICHI01,Triple Lion Crushed Chillies 300gm,5.00000,0.00000,0.00000,2.69000,SPL001,0.00000,13/09/2025
SPICHI02,Triple Lion Chinese Five Spice 430gm,6.50000,0.00000,0.00000,4.35500,SPL001,0.00000,21/02/2025
SPICHI03,Chef William Chinese Five Spice 405gm,6.15000,12.00000,12.00000,3.31666,SLE001,0.00000,
SPICHI04,Chef William Crushed Chillies 300gm,5.00000,8.00000,8.00000,2.06170,SLE001,6.00000,
SPICHI05,Old India Kashmiri Chilli Powder 500gm,6.95000,7.00000,7.00000,4.64500,FGS001,0.00000,
SPICIN01,Triple Lion Ground Cinnamon 430gm,4.70000,13.00000,13.00000,2.42166,SPL001,0.00000,
SPICIN02,Triple Lion Cinnamon Quills 150gm,4.85000,30.00000,30.00000,2.49333,SPL001,0.00000,
SPICIN03,Chef William Cinnamon Sticks 170gm,7.25000,0.00000,0.00000,4.83833,SLE001,0.00000,11/01/2025
SPICIN04,Cinnamon Sticks 500gm,7.40000,2.00000,2.00000,4.96000,HUN001,0.00000,
SPICIN05,Queenswood Cinnamon Sticks 1kg,14.80000,0.00000,0.00000,9.92000,HUN001,0.00000,18/12/2025
SPICLO001,Triple Lion Whole Cloves 350gm,10.35000,10.00000,10.00000,5.97166,SPL001,0.00000,
SPICOR01,Triple Lion Ground Coriander 420gm,3.65000,0.00000,0.00000,1.93000,SPL001,0.00000,20/12/2023
SPICOR01A,Triple Lion Ground Coriander 450gm,3.95000,0.00000,0.00000,1.87333,SPL001,0.00000,22/09/2025
SPICOR02,Khanum Coriander Seeds 700gm,8.15000,0.00000,0.00000,2.68000,SOP001,0.00000,06/03/2024
SPICOR03,Triple Lion Coriander Seeds 800gm,3.45000,0.00000,0.00000,2.36000,SPL001,0.00000,06/03/2024
SPICOR04,Triple Lion Whole Coriander Seeds 200gm,1.20000,20.00000,20.00000,0.78000,SPL001,0.00000,
SPICOR05,Centaur Ground Coriander 250gm,3.65000,0.00000,0.00000,0.00000,CEN001,0.00000,23/10/2024
SPICOR06,Old India Coriander Leaves 500gm,8.05000,7.00000,7.00000,5.53500,FGS001,0.00000,
SPICOR07,Chef William Ground Coriander 400gm,3.50000,0.00000,0.00000,1.66500,SLE001,0.00000,
SPICUM01,Khanum Cumin Seeds 1kg,13.60000,0.00000,0.00000,5.54000,SOP001,0.00000,08/03/2024
SPICUM02,Triple Lion Ground Cumin 400gm,6.65000,0.00000,0.00000,4.58000,SPL001,0.00000,18/10/2023
SPICUM02A,Triple Lion Ground Cumin 450gm,6.60000,0.00000,0.00000,4.08000,SPL001,0.00000,06/10/2025
SPICUM03,Triple Lion Whole Cumin Seeds 300gm,4.10000,18.00000,18.00000,2.19500,SPL001,0.00000,
SPICUM04,Khanum Cumin Seeds 300gm,2.65000,0.00000,0.00000,1.87000,SOP001,0.00000,29/05/2025
SPICUM05,Chef William Ground Cumin 400gm,5.90000,0.00000,0.00000,3.78500,SLE001,12.00000,
