(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,BUT25D,193,5,172,7,365,12,0.06%,0.12%,0.07%,0.04%,0.06%,0.06%,248,8,226,10,474,18,0.06%,0.14%,0.07%,0.04%,0.06%,0.06%,95.57%,100.00%,105,24,28.77%,200.00%,"£2,427.60",£554.88,93,18
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B - 002 Prime,156,3,151,8,307,11,0.05%,0.07%,0.06%,0.05%,0.05%,0.05%,200,3,189,9,389,12,0.05%,0.05%,0.06%,0.04%,0.05%,0.04%,96.56%,88.89%,112,10,36.48%,90.91%,"£1,364.57",£121.83,91,6
B004BTED72,B004BTED72,Pidy Zakouski Mini Round Vol Au Vent Cases - 96 Portions,TAR31-001 Prime,328,11,340,20,668,31,0.10%,0.27%,0.14%,0.12%,0.12%,0.15%,472,17,429,28,901,45,0.11%,0.30%,0.14%,0.13%,0.12%,0.16%,97.92%,100.00%,141,30,21.11%,96.77%,"£3,206.84",£682.20,85,12
B0CFB8YHPN,B0CFB5M7BH,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Mars 24 x 51g Box, (1 Pack))",CHO31B - 008 Prime,344,2,264,13,608,15,0.10%,0.05%,0.11%,0.08%,0.11%,0.07%,407,2,331,21,738,23,0.09%,0.04%,0.11%,0.09%,0.10%,0.08%,92.43%,0.00%,85,0,13.98%,0.00%,"£1,642.15",£0.00,80,0
B0CYPZMDR4,B0CYPZMDR4,Parkers ELSINORE - Lumpfish Caviar - 100gm (Pack of 3),ELSIN001 - 006 Prime,145,1,92,3,237,4,0.04%,0.02%,0.04%,0.02%,0.04%,0.02%,191,2,112,4,303,6,0.04%,0.04%,0.04%,0.02%,0.04%,0.02%,98.16%,100.00%,80,4,33.76%,100.00%,"£1,679.20",£83.96,78,4
B0DPJ458LV,B0DPJ458LV,Centaur - Duck Fat - 1kg,FAT03C - 001 Prime,166,3,165,4,331,7,0.05%,0.07%,0.07%,0.02%,0.06%,0.03%,207,7,208,4,415,11,0.05%,0.12%,0.07%,0.02%,0.06%,0.04%,97.89%,100.00%,92,0,27.79%,0.00%,"£1,256.69",£0.00,78,0
B0CD7WJGVM,B0D6NLL4CY,"Crusha Milk Shake Syrup 1ltr (1, Raspberry)",CRUSHA004 - 001,177,2,137,3,314,5,0.05%,0.05%,0.06%,0.02%,0.05%,0.02%,216,2,168,3,384,5,0.05%,0.04%,0.05%,0.01%,0.05%,0.02%,97.39%,100.00%,104,1,33.12%,20.00%,£959.92,£9.23,77,1
B01H5GE1PG,B01H5GE1PG,"Taylors of Harrogate Lemon and Ginger Tea, 20 Teabags, Pack of 6, Total 120 Teabags",TAYLOR001 - 001,98,6,101,7,199,13,0.03%,0.15%,0.04%,0.04%,0.03%,0.06%,129,9,123,9,252,18,0.03%,0.16%,0.04%,0.04%,0.03%,0.06%,75.64%,75.00%,80,6,40.20%,46.15%,"£1,463.04",£116.76,76,6
B077B43VD5,B077B43VD5,"Heinz Malt Vinegar, 250ml (Case 6)",HEI44 - 001,183,2,156,5,339,7,0.05%,0.05%,0.07%,0.03%,0.06%,0.03%,245,2,200,5,445,7,0.06%,0.04%,0.06%,0.02%,0.06%,0.03%,66.51%,66.67%,80,3,23.60%,42.86%,£794.40,£29.79,74,2
B07T81KJ2K,B078VB2BF7,"Burts Lightly Sea Salted Hand Cooked Burts Crisps Sharing Bags - 10 x 150 g Multipack Box - Vegan and Vegetarian Friendly, Gluten Free, Hydrogenated Fat Free, Non-GMO – Salted Share Bags",CRI10 uk shipping,125,3,207,10,332,13,0.04%,0.07%,0.09%,0.06%,0.06%,0.06%,187,6,264,14,451,20,0.04%,0.11%,0.09%,0.06%,0.06%,0.07%,91.34%,100.00%,84,10,25.30%,76.92%,"£1,527.82",£183.80,74,9
B003ZG3G7U,B003ZG3G7U,La Perruche Rough Sugar Cubes White (1kg),SUG16,245,3,204,38,449,41,0.07%,0.07%,0.09%,0.24%,0.08%,0.20%,307,5,254,47,561,52,0.07%,0.09%,0.08%,0.21%,0.07%,0.19%,35.69%,48.89%,102,49,22.72%,119.51%,£886.38,£425.81,73,26
B085PN6X4C,B085PN6X4C,"Valrhona Cocoa Powder 100%, 8.2 oz",VALRHO002 - 003 Prime,122,2,83,0,205,2,0.04%,0.05%,0.03%,0.00%,0.04%,0.01%,177,3,107,0,284,3,0.04%,0.05%,0.03%,0.00%,0.04%,0.01%,98.84%,100.00%,81,6,39.51%,300.00%,"£1,329.06",£98.34,73,4
B0CD7WJGVM,B0CD7Z3H81,"Crusha Milk Shake Syrup 1ltr (Banana, 1)",CRUSHA001 - 003 Prime,312,0,209,5,521,5,0.09%,0.00%,0.09%,0.03%,0.09%,0.02%,413,0,266,5,679,5,0.09%,0.00%,0.09%,0.02%,0.09%,0.02%,97.24%,100.00%,91,1,17.47%,20.00%,£900.90,£9.90,73,1
B00BEVBS50,B00BEVBS50,Valrhona Cocoa Powder 250 gm,VALRHONA002A - 001,87,0,113,1,200,1,0.03%,0.00%,0.05%,0.01%,0.03%,0.00%,133,0,157,1,290,1,0.03%,0.00%,0.05%,0.00%,0.04%,0.00%,94.66%,100.00%,84,5,42.00%,500.00%,"£1,321.32",£78.81,72,4
B0D7J2LZYN,B0D7J2JD91,"Cambrook (1kg, Hickory Smoked Almonds)",CAMBR008 - 002 Prime,101,5,57,4,158,9,0.03%,0.12%,0.02%,0.02%,0.03%,0.04%,145,6,82,5,227,11,0.03%,0.11%,0.03%,0.02%,0.03%,0.04%,99.49%,100.00%,74,4,46.84%,44.44%,"£1,550.11",£83.81,71,4
B087BJQVYX,B087BJQVYX,"Cambrook - Dry Roasted Peanuts, 1kg Bag",CAMBR010 - 001,191,5,185,12,376,17,0.06%,0.12%,0.08%,0.07%,0.07%,0.08%,254,8,242,15,496,23,0.06%,0.14%,0.08%,0.07%,0.07%,0.08%,43.28%,0.00%,72,0,19.15%,0.00%,£893.16,£0.00,70,0
B004CS23EW,B004CS23EW,Gran Reserva Sherry Vinegar 750ml,VIN17 - 002 Prime,111,1,136,1,247,2,0.03%,0.02%,0.06%,0.01%,0.04%,0.01%,152,1,190,1,342,2,0.03%,0.02%,0.06%,0.00%,0.05%,0.01%,64.97%,100.00%,71,0,28.74%,0.00%,£850.29,£0.00,68,0
B0D1CND51R,B0D1CND51R,Parkers Jacob's - Mini Cheddars RED LEICESTER Flavour Crisps - 30 x 45g,BAR29 - 001 Prime,86,0,92,0,178,0,0.03%,0.00%,0.04%,0.00%,0.03%,0.00%,111,0,111,0,222,0,0.03%,0.00%,0.04%,0.00%,0.03%,0.00%,98.10%,0.00%,72,0,40.45%,0.00%,"£1,466.28",£0.00,68,0
B07M9WN9JH,B07M9WN9JH,Kewpie Mayonnaise 15.87oz/450g Pack Of 3,MAY25A - 003 Prime,"1,377",17,502,15,"1,879",32,0.41%,0.41%,0.21%,0.09%,0.33%,0.16%,"1,719",22,614,17,"2,333",39,0.39%,0.39%,0.20%,0.08%,0.31%,0.14%,11.09%,20.00%,77,5,4.10%,15.63%,"£1,528.15",£106.00,67,3
B0CPJRP1FJ,B0CPJRP1FJ,QP Japanese Mayonnaise Condiment Sauce 450g (Pack of 2),MAY25A - 004 Prime,170,1,158,7,328,8,0.05%,0.02%,0.07%,0.04%,0.06%,0.04%,229,1,202,12,431,13,0.05%,0.02%,0.07%,0.05%,0.06%,0.05%,63.73%,45.45%,67,3,20.43%,37.50%,£993.41,£47.10,66,2
B005TG9OJI,B005TG9OJI,Pom-Bear Original (Box of 36 x 19g Bags),CRI50 - 002 uk shipping,127,2,127,15,254,17,0.04%,0.05%,0.05%,0.09%,0.04%,0.08%,165,3,174,20,339,23,0.04%,0.05%,0.06%,0.09%,0.05%,0.08%,57.91%,0.00%,70,0,27.56%,0.00%,"£1,608.11",£0.00,65,0
B0DCK7QJYP,B0DCK7QJYP,Parkers Dried Sweetened Diced Pineapple 1kg,DRIPINE001 - 001 Prime,113,4,55,0,168,4,0.03%,0.10%,0.02%,0.00%,0.03%,0.02%,146,6,78,0,224,6,0.03%,0.11%,0.03%,0.00%,0.03%,0.02%,100.00%,100.00%,65,1,38.69%,25.00%,£749.45,£11.43,64,1
B00FXMJ15U,B00FXMJ15U,Valrhona Cacao Powder 250 g,VALRHO002 Prime,102,0,126,0,228,0,0.03%,0.00%,0.05%,0.00%,0.04%,0.00%,166,0,183,0,349,0,0.04%,0.00%,0.06%,0.00%,0.05%,0.00%,89.81%,0.00%,73,5,32.02%,0.00%,"£1,198.78",£81.95,63,4
B0BLW2232P,B0BLW2232P,Centaur Tonka Beans 50g,SPI56A - 001 uk shipping,182,3,165,8,347,11,0.05%,0.07%,0.07%,0.05%,0.06%,0.05%,225,4,198,14,423,18,0.05%,0.07%,0.06%,0.06%,0.06%,0.06%,98.22%,100.00%,68,8,19.60%,72.73%,£645.32,£75.92,63,7
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,BAK30 - 001 Prime,156,5,193,9,349,14,0.05%,0.12%,0.08%,0.06%,0.06%,0.07%,215,6,261,10,476,16,0.05%,0.11%,0.08%,0.04%,0.06%,0.06%,94.97%,81.82%,73,9,20.92%,64.29%,£668.68,£82.44,63,8
B01B7GJX5I,B01B7GJX5I,Tate and Lyle Fairtrade Caster Sugar 25 kg,TATECA002 - 001,55,5,82,24,137,29,0.02%,0.12%,0.03%,0.15%,0.02%,0.14%,60,6,93,25,153,31,0.01%,0.11%,0.03%,0.11%,0.02%,0.11%,56.38%,54.17%,68,19,49.64%,65.52%,"£2,288.70",£640.41,62,17
B0CCPJL4SC,B0CCPFNNJ1,Busch Meringue Drops 100gm,SWE03E - 001 Prime,361,5,246,3,607,8,0.11%,0.12%,0.10%,0.02%,0.11%,0.04%,484,6,328,4,812,10,0.11%,0.11%,0.11%,0.02%,0.11%,0.04%,99.04%,100.00%,77,6,12.69%,75.00%,£499.59,£39.87,62,3
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA,72,0,69,3,141,3,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,82,0,84,4,166,4,0.02%,0.00%,0.03%,0.02%,0.02%,0.01%,80.13%,66.67%,63,1,44.68%,33.33%,£753.48,£11.96,61,1
B0B998R6L4,B0B998R6L4,Parkers Kerrymaid UHT Double Cream 1 Litre,UHT03B - 001 Prime,535,7,466,12,"1,001",19,0.16%,0.17%,0.20%,0.07%,0.17%,0.09%,696,8,564,14,"1,260",22,0.16%,0.14%,0.18%,0.06%,0.17%,0.08%,89.49%,78.57%,99,1,9.89%,5.26%,£832.88,£8.13,61,1
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),ALP09A - 002 Prime,113,0,104,11,217,11,0.03%,0.00%,0.04%,0.07%,0.04%,0.05%,146,0,127,12,273,12,0.03%,0.00%,0.04%,0.05%,0.04%,0.04%,70.63%,70.00%,93,41,42.86%,372.73%,"£1,461.60",£646.83,61,13
B0D92Q4179,B0D92Q4179,"Jersey Ice Cream Mix 1ltr (6, Luxury)",UHT31B - 003 Prime,163,8,126,9,289,17,0.05%,0.19%,0.05%,0.06%,0.05%,0.08%,230,13,162,12,392,25,0.05%,0.23%,0.05%,0.05%,0.05%,0.09%,95.83%,78.57%,73,20,25.26%,117.65%,"£2,197.31",£601.98,60,9
B0BCL8RBPP,B00G6DMN82,Firefly Kiwi Lime and Mint 330 ml (Pack of 12),FIREF003 - 001 Prime,70,1,76,1,146,2,0.02%,0.02%,0.03%,0.01%,0.03%,0.01%,92,1,94,1,186,2,0.02%,0.02%,0.03%,0.00%,0.02%,0.01%,87.65%,100.00%,76,0,52.05%,0.00%,"£1,743.44",£0.00,59,0
B00CJV396A,B00CJV396A,Freshers Lime Juice Cordial 1 x 5litre,COR20A - 002,53,1,30,0,83,1,0.02%,0.02%,0.01%,0.00%,0.01%,0.00%,61,1,34,0,95,1,0.01%,0.02%,0.01%,0.00%,0.01%,0.00%,100.00%,0.00%,67,3,80.72%,300.00%,£742.36,£33.24,58,3
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,477,4,374,19,851,23,0.14%,0.10%,0.16%,0.12%,0.15%,0.11%,737,4,571,26,"1,308",30,0.17%,0.07%,0.18%,0.12%,0.17%,0.11%,96.11%,80.95%,66,0,7.76%,0.00%,"£1,320.34",£0.00,56,0
B08BPBPYTF,B08BPBPYTF,Pom Bears Original Ready Salted Crisps - 36x19g,CRI50 - 001,90,0,87,7,177,7,0.03%,0.00%,0.04%,0.04%,0.03%,0.03%,120,0,107,9,227,9,0.03%,0.00%,0.03%,0.04%,0.03%,0.03%,82.24%,0.00%,58,1,32.77%,14.29%,"£1,551.45",£26.61,55,1
B0CLS4K9FT,B0CLS4K9FT,Freee Bread Flour Selection Pack - 1 x White Bread Flour 1kg & 1 x Brown Bread Flour 1kg - Total 2 Packets - Free from Gluten,Doves Bundle - 001 Prime,192,1,145,1,337,2,0.06%,0.02%,0.06%,0.01%,0.06%,0.01%,254,1,180,5,434,6,0.06%,0.02%,0.06%,0.02%,0.06%,0.02%,58.61%,0.00%,55,0,16.32%,0.00%,£611.60,£0.00,55,0
B0CTTNW46W,B0CTTNW46W,Brown Bag Aberdeen Angus Beef & Onion Crisps 20 x 40gm,CRI39 - 001 Prime,401,1,316,3,717,4,0.12%,0.02%,0.13%,0.02%,0.12%,0.02%,499,1,377,3,876,4,0.11%,0.02%,0.12%,0.01%,0.12%,0.01%,91.80%,100.00%,59,0,8.23%,0.00%,"£1,095.31",£0.00,55,0
B01AAABOZE,B01AAABOZE,Callebaut Select Dark Chocolate Baking Callets 1 kg,CAL02A - 009,632,11,367,11,999,22,0.19%,0.27%,0.15%,0.07%,0.17%,0.11%,848,18,496,16,"1,344",34,0.19%,0.32%,0.16%,0.07%,0.18%,0.12%,21.70%,35.71%,55,0,5.51%,0.00%,"£1,352.45",£0.00,54,0
B0C5418F7F,B0C5418F7F,Seasoners Traditional Pickled Onions 2.25kg,PIC05A - 001 Prime,253,2,193,3,446,5,0.07%,0.05%,0.08%,0.02%,0.08%,0.02%,336,3,246,3,582,6,0.08%,0.05%,0.08%,0.01%,0.08%,0.02%,98.49%,100.00%,61,0,13.68%,0.00%,£914.39,£0.00,54,0
B00279RYEM,B00279RYEM,Unknown Japanese Kewpie Mayonnaise - 17.64 Oz. (Pack Of 3),MAY25A - 007 Prime,133,1,90,2,223,3,0.04%,0.02%,0.04%,0.01%,0.04%,0.01%,175,1,119,3,294,4,0.04%,0.02%,0.04%,0.01%,0.04%,0.01%,61.68%,33.33%,57,0,25.56%,0.00%,"£1,194.67",£0.00,53,0
B07QDB3FLX,B07QDB3FLX,"We Can Source It Ltd - Wrapmaster 4500 Cling Film – 45cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",WRA02 - 001,417,13,319,67,736,80,0.12%,0.32%,0.13%,0.42%,0.13%,0.40%,587,17,414,87,"1,001",104,0.13%,0.30%,0.13%,0.39%,0.13%,0.37%,24.37%,10.00%,69,15,9.38%,18.75%,"£2,577.86",£640.02,53,14
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,63,1,69,3,132,4,0.02%,0.02%,0.03%,0.02%,0.02%,0.02%,82,1,101,3,183,4,0.02%,0.02%,0.03%,0.01%,0.02%,0.01%,85.63%,0.00%,72,0,54.55%,0.00%,"£1,439.68",£0.00,52,0
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,UHT31B - 005 prime,"1,536",28,898,27,"2,434",55,0.45%,0.68%,0.38%,0.17%,0.42%,0.27%,"2,084",37,"1,238",40,"3,322",77,0.47%,0.66%,0.40%,0.18%,0.44%,0.28%,27.97%,17.50%,60,3,2.47%,5.45%,£520.29,£26.13,51,2
B008JYGOPE,B008JYGOPE,forvm chardonnay 500ml,VIN60,68,0,82,3,150,3,0.02%,0.00%,0.03%,0.02%,0.03%,0.01%,80,0,106,3,186,3,0.02%,0.00%,0.03%,0.01%,0.02%,0.01%,96.36%,100.00%,57,13,38.00%,433.33%,"£1,048.23",£239.07,50,8
B07W5W7YCT,B07W5W7YCT,"Callebaut Chocolate Bundle 3x400g Milk, Dark and White couverture callets",CAL100 - PRIME,285,5,146,3,431,8,0.08%,0.12%,0.06%,0.02%,0.07%,0.04%,377,7,184,4,561,11,0.09%,0.12%,0.06%,0.02%,0.07%,0.04%,49.51%,40.00%,50,1,11.60%,12.50%,"£1,605.50",£32.11,50,1
B085S732DW,B085S732DW,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,PAS03 - 001,"1,146",20,698,15,"1,844",35,0.34%,0.49%,0.29%,0.09%,0.32%,0.17%,"1,383",20,847,18,"2,230",38,0.31%,0.36%,0.27%,0.08%,0.30%,0.14%,21.89%,22.73%,61,1,3.31%,2.86%,£601.05,£9.86,49,1
