(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B09VK54B29,B09VK54B29,Lee Kum Kee Premium Dark Soy Sauce 1.75L,SOY07 - 001,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,£11.49,£0.00,1,0
B0B297P6MK,B0B297P6MK,The Fine Cookie Co. Rocky Mountain Road Cookies 1 x 36,FINECO005 - 001,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,2,0,200.00%,0.00%,£85.94,£0.00,1,0
B0DPJF7N4F,B0B61D6XB1,"Jacob's Mini Cheddars Original Grab Bag, 45 g (Pack of 30)",BAR28 - prime,4,0,0.43%,0.00%,6,0,0.48%,0.00%,100.00%,0.00%,2,0,50.00%,0.00%,£39.94,£0.00,1,0
B0B6QBZGPS,B0B6Q9YB34,Colman's English Mustard 150g x Case of 6,COL10A - 004 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£22.30,£0.00,1,0
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,UHT03B - 002,8,1,0.85%,2.17%,9,1,0.72%,1.54%,100.00%,100.00%,1,0,12.50%,0.00%,£47.61,£0.00,1,0
B0B998R6L4,B0B998R6L4,Parkers Kerrymaid UHT Double Cream 1 Litre,UHT03B - 001 Prime,15,0,1.60%,0.00%,18,0,1.43%,0.00%,100.00%,0.00%,3,0,20.00%,0.00%,£24.39,£0.00,1,0
B0BDM89147,B0BDM89147,"Parkers Lion Blue Cheese Dressing 2.27Litres, White",DRE04 = 001,2,0,0.21%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£15.82,£0.00,1,0
B0BLZJZLW6,B0BLZJZLW6,Ingram Brothers Meri-white Meringue and Royal Icing Mix 1.5kg,MCD50A - 001,1,0,0.11%,0.00%,2,0,0.16%,0.00%,100.00%,0.00%,1,1,100.00%,0.00%,£54.00,£54.00,1,1
B0BPMG1SZZ,B0BPMG1SZZ,Parkers Chilli Rice Crackers 1kg,BAR05 - 001,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£16.89,£0.00,1,0
B0BWYXP7Z9,B0BWYXP7Z9,Chef William Sage & Onion Stuffing 3kg,STU01A - 001,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£12.68,£0.00,1,0
B0C521CFV6,B0C521CFV6,Taylors of Harrogate Ceylon Tea 6 x 20 Individually Wrapped Tea Bags,TAYLOR007 - 003,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£17.25,£0.00,1,0
B0CBQ7YNKN,B0CBQ7YNKN,Le Guerandais Coarse Sea Salt 1kg X 6,SAL21 - 004 Prime,1,0,0.11%,0.00%,1,0,0.08%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,£21.07,£0.00,1,0
B0CD7W81FQ,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",CRUSHA003 - 003 Prime,3,0,0.32%,0.00%,4,0,0.32%,0.00%,100.00%,0.00%,1,0,33.33%,0.00%,£9.99,£0.00,1,0
