id,createdAt,updatedAt,parentSKU,parentTitle,childSKU,childTitle,quantity
cmcnb9frr010zo23fqm188q3y,1751542636279,1751542636279,CAL100,"Callebaut - (BUNDLE - 3 x 400g) - Milk, Dark 811 & White",CAL03A,"Callebaut - Milk - 33.6% Callets - 400g",1
cmcnb9frr0110o23fdpinztxx,1751542636279,1751542636279,CAL100,"Callebaut - (BUNDLE - 3 x 400g) - Milk, Dark 811 & White",CAL04B,"Callebaut - White - 28% Callets - 400g",1
cmcnb9frr0111o23fw431el7a,1751542636279,1751542636279,"SUE01 - 006","Atora - BEEF SUET - 2kg - (Pack of 6)",SUE01,"Atora - BEEF SUET - 2kg",6
cmcnb9frr0112o23fuw0hpxgq,1751542636279,1751542636279,"GLO16 - 002","SHIELD - EXTRA LARGE - Powder Free BLUE Disposable Vinyl Gloves 1x100 (10 PACKS)",GLO16,"SHIELD - EXTRA LARGE - Powder Free BLUE Disposable Vinyl Gloves 1x100",10
cmcnb9frr0113o23f6x2wtcol,1751542636279,1751542636279,"VEG21 - 001","Maggi - Rich & Rustic TOMATO SAUCE - 800g - (Pack of 12)",VEG21,"Maggi - Rich & Rustic TOMATO SAUCE - 800g",12
cmcnb9frr0114o23fsovbzx1i,1751542636279,1751542636279,"MUS01 - 001 Prime","Merchant Gourmet Chef's Dried Mixed Mushrooms 400g",MUS01,"Chefs Brigade - Dried MIXED Mushrooms - 400g",1
cmcnb9frr0115o23f041n2yb5,1751542636279,1751542636279,"GIN03 - 101","Yutaka - PINK Sushi Ginger - 1.6kg",GIN03,"Yutaka - PINK Sushi Ginger - 1.6kg",1
cmcnb9frr0116o23fsxspc8n3,1751542636279,1751542636279,"FLO09A - 001","Shipton Mill - Italian 00 - WHITE Flour - 25kg",FLO09A,"Shipton Mill - Italian 00 - WHITE Flour - 25kg",1
cmcnb9frr0117o23fljxbf8fw,1751542636279,1751542636279,"RIC14B - 001","Bomba - Paella Rice - 1kg",RIC14B,"Bomba - Paella Rice - 1kg",1
cmcnb9frr0118o23ffo3dzfxu,1751542636279,1751542636279,"CLE63 - 101","Vanish - Oxi-Action Powder - 2.4kg",CLE63,"Vanish - Oxi-Action Powder - 2.4kg",1
cmcnb9frr0119o23f9n788hd8,1751542636279,1751542636279,"RUMMO010 - 001","Rummo - No.117 - GNOCCHI - 500g",RUMMO010,"Rummo - No.117 - GNOCCHI - 500g",1
cmcnb9frr011ao23fth40z4m5,1751542636279,1751542636279,"HEI02 - 003 Prime","Heinz - ""Squeezy"" Ketchup - 10 x 300ml (Pack of 4)",HEI02,"Heinz - ""Squeezy"" Ketchup - 10 x 300ml",4
cmcnb9frr011bo23fl3fm5x3t,1751542636279,1751542636279,"HEI07 - 003","Heinz - KETCHUP Sachet - 200x10ml",HEI07,"Heinz - KETCHUP Sachet - 200x10ml",1
cmcnb9frr011co23fns87t4yg,1751542636279,1751542636279,"DES21 - 002 Prime","Angel Delight - STRAWBERRY - 600g - (Pack of 12)",DES21,"Angel Delight - STRAWBERRY - 600g",12
cmcnb9frr011do23fknapseif,1751542636279,1751542636279,"VEG13B - 001 Prime","BALLERINA - Tinned Sweetcorn - 2.125kg",VEG13B,"BALLERINA - Tinned Sweetcorn - 2.125kg",1
cmcnb9frr011eo23fuf33jk4n,1751542636279,1751542636279,"SWE41A - 005 Prime","Epic - Giant Marshmallows - 500g - (Pack of 12)",SWE41A,"Epic - Giant Marshmallows - 500g",12
cmcnb9frr011fo23f51z9r66f,1751542636279,1751542636279,"CLE58C - 002 Prime","Cif - Original Cream Cleaner - 500ml - (Pack of 8)",CLE58C,"Cif - Original Cream Cleaner - 500ml",8
cmcnb9frr011go23fsg5ve5ai,1751542636279,1751542636279,"OSPRIO024 - 002","Osprio Easy Cook Long Grain Rice 5kg - (Pack of 3)",OSPRIO024,"Osprio Easy Cook Long Grain Rice 5kg",3
cmcnb9frr011ho23frymgjbgs,1751542636279,1751542636279,"BEE04 - 905","Roasting Striploin - 8kg - Roasting Striploin (Whole Roasting Striploin)",BEE04,"Roasting Striploin - 1kg Piece - Roasting Striploin",8
cmcnb9frr011io23fxpmtry63,1751542636279,1751542636279,"PACKAG031 - 001","2 Cup Cardbord Carry Tray 1 x 360 (442CHB200CL)",PACKAG031,"2 Cup Cardbord Carry Tray 1 x 360 (442CHB200CL)",1
cmcnb9frr011jo23fhdi1yred,1751542636279,1751542636279,"SUG01 - 101","SILVERSPOON - CASTER Sugar - 2kg",SUG01,"SILVERSPOON - CASTER Sugar - 2kg",1
