SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
CRUSHA001 - 003,"Crusha Milk Shake Syrup 1ltr (Banana, 1)",521.0,26.0,4.99,239.72,9.22
HON07 - 001 Prime,Roquito Hot Honey Drizzle,520.0,6.0,1.15,60.12,10.02
FENTIM001 - 003 Prime,"Fentimans Curiosity Cola, 275ml Bottles, Pack of 12",518.0,55.0,10.62,1371.13,24.93
CLE66 - 009,"LENOR Summer Breeze Super Concentrate, Benzisothiazolinone, No, 4 l (Pack of 1)",506.0,10.0,1.98,151.2,15.12
VIN02F - 004,(Pack of 2) Sarson's Malt Vinegar (Plastic Bottle) - 300ml,505.0,5.0,0.99,33.8,6.76
CHEFPA06A - PR2,"CHEF Jus de Veau Lié Thickened Veal Jus, 900 g",499.0,23.0,4.61,473.53,20.59
CHEFPA06A - 002,"CHEF Jus de Veau Lié Thickened Veal Jus, 900 g",499.0,5.0,1.0,100.16,20.03
GIN03 - 001,Yutaka Sushi Ginger Pink (P0010c) - 1KG,498.0,1.0,0.2,9.63,9.63
CHO26 - 001 Prime,Cadbury Standard Crunchie Chocolate Bar - 40g (Pack of 48),490.0,1.0,0.2,32.06,32.06
CAL32A - 001,Callebaut Finest Belgian Gold Chocolate with Caramel Couverture Callets 400g,490.0,1.0,0.2,16.19,16.19
FLO19C - 006 Prime,Doves Farm | Gluten Free Brown Bread Flour | 3 x 1kg,487.0,1.0,0.21,14.27,14.27
MAY26B - 001 uk shipping,Premium Vegan Mayo - Mayonnaise Squeezy 1 Litre Bottle,484.0,9.0,1.86,73.03,8.11
MAY26B - 001,Premium Vegan Mayo - Mayonnaise Squeezy 1 Litre Bottle,484.0,41.0,8.47,350.42,8.55
SOY11 - 002 Prime,"Kikkoman Tamari Gluten free Soy Sauce, 1 Litre, (Pack of 6), Naturally Brewed",483.0,8.0,1.66,394.4,49.3
VIN22B Prime,Fattoria Estense White Balsamic Vinegar (500ml),479.0,6.0,1.25,56.94,9.49
TATECU002 - 003,Tate & Lyle Rough Cut White Sugar Cubes 1kg,477.0,3.0,0.63,22.89,7.63
TATECU002 - 001,Tate & Lyle Rough Cut White Sugar Cubes 1kg,477.0,28.0,5.87,232.4,8.3
MUFFIN024 - 003 Prime,Ambient Mixed Topped Muffins - 16 x 105gm,474.0,10.0,2.11,203.98,20.4
HEI01 - 006,"Heinz Tomato Ketchup, 2.15Ltr",471.0,3.0,0.64,48.39,16.13
HEI01,"Heinz Tomato Ketchup, 2.15Ltr",471.0,6.0,1.27,100.26,16.71
