Metric,23/06/2025,24/06/2025,25/06/2025,26/06/2025,27/06/2025,28/06/2025,29/06/2025,30/06/2025,01/07/2025,02/07/2025,03/07/2025,04/07/2025,05/07/2025,06/07/2025,07/07/2025,08/07/2025,09/07/2025,10/07/2025,11/07/2025,12/07/2025,13/07/2025,14/07/2025,15/07/2025,16/07/2025,17/07/2025,18/07/2025,19/07/2025,20/07/2025,21/07/2025
1.1 Shipments Packed,508,341,321,292,310,215,0,550,356,326,353,320,215,0,548,372,336,375,377,208,0,489,369,291,276,260,166,0,500
1.3.2 Packing Hours Used,21,21,13,21,29,15,0,29,29,21,21,21,18,0,26,21,17,22,21,15,0,29,29,21,19.5,16,9,0,22
1.3.3 Picking Hours Used,2.50,2,2,2,1,0,0,2,1.50,1,1,0,0,0,2,1,1,2,1,0,0,3,2,1,0,1,0,0,1.00
Shipments Per hour,24.19,16.24,24.69,13.90,10.69,14.33,,18.97,12.28,15.52,16.81,15.24,11.94,,21.08,17.71,19.76,17.05,17.95,13.87,,16.86,12.72,13.86,14.15,16.25,18.44,,22.73
