(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001,"13,910",211,1.60%,0.76%,"18,499",261,1.63%,0.69%,75.71%,34.56%,"1,125",11,8.09%,5.21%,"£38,793.82",£386.43,"1,063",11
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Uk shipping,"3,907",24,0.45%,0.09%,"4,649",29,0.41%,0.08%,97.30%,100.00%,289,1,7.40%,4.17%,"£3,290.65",£11.24,286,1
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,"1,318",26,0.15%,0.09%,"1,739",30,0.15%,0.08%,98.10%,100.00%,290,21,22.00%,80.77%,"£3,729.48",£270.79,267,5
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001,893,25,0.10%,0.09%,"1,206",30,0.11%,0.08%,96.70%,95.24%,291,34,32.59%,136.00%,"£2,818.82",£328.04,264,17
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,"1,101",49,0.13%,0.18%,"1,644",61,0.15%,0.16%,83.57%,89.13%,311,37,28.25%,75.51%,"£6,470.12",£776.23,242,25
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001 uk shipping,"1,318",26,0.15%,0.09%,"1,739",30,0.15%,0.08%,98.10%,100.00%,248,10,18.82%,38.46%,"£2,955.26",£119.07,233,7
B0DVGYWXJ4,B0DVH3N5GH,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (1 Pack, 2500.0, gram)",CAL02 - 011 Prime,"1,671",39,0.19%,0.14%,"2,188",54,0.19%,0.14%,95.51%,100.00%,201,13,12.03%,33.33%,"£7,771.52",£509.81,190,9
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,"1,032",28,0.12%,0.10%,"1,288",36,0.11%,0.10%,84.73%,70.00%,213,17,20.64%,60.71%,"£3,086.09",£246.33,189,12
B0G2SVYYY4,B0G2SVYYY4,"NG & SF® High Activity Compressed Fresh Baker’s Yeast – 1 kg Block | Gluten-Free, Kosher & Halal | Fast-Acting Yeast for No-Time Dough Baking - current stock expiry 17/04/2026",BAK01B - 001,"1,651",48,0.19%,0.17%,"2,195",60,0.19%,0.16%,95.08%,95.12%,196,6,11.87%,12.50%,"£2,236.04",£66.94,183,5
B0DCZWT1K6,B0DCZWT1K6,Mars Chocolate Bars Milk Chocolate Bulk Gift Treat Office Box 51g Pack Of 24 Bars,CHO31B - 016,"2,635",52,0.30%,0.19%,"3,212",66,0.28%,0.17%,41.99%,34.55%,189,20,7.17%,38.46%,"£4,117.41",£437.29,181,16
B0CV151M43,B07FN52R4T,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",CRI35 - 002  One Day,379,5,0.04%,0.02%,493,5,0.04%,0.01%,94.12%,0.00%,187,3,49.34%,60.00%,"£3,269.16",£52.44,171,1
B0FL2WNNSW,B0FL2WNNSW,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 400g,CAL03A - 012,"9,480",163,1.09%,0.59%,"12,388",209,1.09%,0.55%,34.14%,21.28%,181,0,1.91%,0.00%,"£2,093.33",£0.00,169,0
