SKU,ASIN,Status,Buy Box Price,Lowest Price,Currency,Our Price,Winning,Offers
"BAR28 - prime",,Success,,17.41,GBP,20.86,No,17
"BAR29 - 001 Prime",,Success,,20.99,GBP,21.53,No,2
"BAR29 - 002",,Success,19.99,23.13,GBP,20.86,No,13
"BAR30 - 001",,Success,21.59,29.4,GBP,20.86,No,15
"BAR30 - 001 Prime",,Success,21.59,29.4,GBP,20.86,No,15
"BAR31 - 002 Prime",,Success,20.35,20.35,GBP,20.35,Yes,3
"BEA01 - 007",,Success,16.35,18.2,GBP,18.8,No,7
"BEA01 - 009",,Success,10.54,10,GBP,12.07,No,5
"BEA01 - 009 Prime",,Success,10.54,10,GBP,12.07,No,5
"BEA02B - 001",,Success,4.5,4.5,GBP,11.91,No,5
"BEA02B - 002",,Success,10,10,GBP,17.59,No,10
"BEA02B - 004",,Success,,11.91,GBP,11.91,No,4
"BEA04D - 001",,Success,6.29,6.29,GBP,6.29,Yes,1
"BEA04D - 002",,Success,6.29,6.29,GBP,6.29,Yes,1
"BEA05 - 001",,Success,6.16,6.16,GBP,6.16,Yes,1
"BEA05 - 002",,Success,12.89,12.89,GBP,12.89,Yes,1
"BEA05D - 002 Prime",,Success,7.08,7.08,GBP,7.08,Yes,1
"BEA05D - 003 Prime",,Success,15.9,15.9,GBP,15.9,Yes,1
"BEA05F - 001 Prime",,Success,10.03,10.03,GBP,10.03,Yes,1
"BEA06",,Success,10.06,10.06,GBP,10.06,Yes,1
"BEA07E - 001",,Success,7.03,7.03,GBP,7.03,Yes,1
"BEA07E - 002",,Success,14.06,14.06,GBP,14.06,Yes,1
"BEA10C - 001 Prime",,Success,7.31,7.31,GBP,7.31,Yes,1
"BEA10C - 002 Prime",,Success,9.8,9.8,GBP,9.8,Yes,1
"BEA10C - 003 Prime",,Success,17.31,17.31,GBP,17.31,Yes,1
"BEA11C - 001",,Success,10.58,10.58,GBP,10.58,Yes,1
"BEA12C - 001",,Success,6.29,6.29,GBP,6.29,Yes,1
"BEA12C - 002",,Success,13.67,13.67,GBP,13.67,Yes,1
"BEA15A - 001",,Success,12,12,GBP,,No,2
"BEA15A - 002",,Success,6.62,6.62,GBP,6.62,Yes,1
"BEA17 - 001",,Success,6.46,6.46,GBP,6.46,Yes,1
"BEA17 - 002 Prime",,Success,16.53,16.53,GBP,16.53,Yes,1
"BEA20A - 001",,Success,12,12,GBP,16.56,No,3
"BEA20A - 002",,Success,6.62,6.62,GBP,6.62,Yes,2
"BEA20A - 002 Prime",,Success,6.62,6.62,GBP,6.62,Yes,2
"BEA21 - 003",,Success,7.39,7.39,GBP,7.39,Yes,1
"BIS09 - 006",,Success,,9.98,GBP,14.22,No,3
"BLA03 - 001",,Success,12.62,12.62,GBP,12.62,Yes,2
