(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CDPDXXWD,B08BP8Q4S3,Tate & Lyle Dark Soft Brown Sugar - 4x3kg,TATESO001 - 002,24,0,21,4,45,4,0.02%,0.00%,0.03%,0.06%,0.02%,0.05%,37,0,22,4,59,4,0.03%,0.00%,0.02%,0.05%,0.02%,0.04%,0.00%,0.00%,2,0,4.44%,0.00%,£70.68,£0.00,2,0
B08BP9W2BT,B08BP9W2BT,Batchelors Mushy Peas 6X3KG,VEG06B - 006,3,0,4,1,7,1,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,4,0,4,1,8,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,100.00%,100.00%,2,1,28.57%,100.00%,£87.94,£43.97,2,1
B08BS3QSRN,B08BS3QSRN,Biona Organic Coconut Cream 400ml (Pack of 6),ORI12C - 001,29,2,27,3,56,5,0.03%,0.14%,0.03%,0.05%,0.03%,0.06%,35,2,40,5,75,7,0.03%,0.10%,0.04%,0.06%,0.03%,0.07%,20.00%,0.00%,2,0,3.57%,0.00%,£40.50,£0.00,2,0
B08LM9RPPZ,B08CBL1SRX,Tate & Lyle Caster Sugar - 6x2kg,TATECA001 - 001,9,0,18,4,27,4,0.01%,0.00%,0.02%,0.06%,0.01%,0.05%,13,0,26,9,39,9,0.01%,0.00%,0.02%,0.10%,0.02%,0.08%,6.06%,0.00%,2,0,7.41%,0.00%,£49.78,£0.00,2,0
B08D726CWZ,B08D726CWZ,Lotus Biscoff Topping Sauce 1kg Squeezy Bottle And Lotus Biscoff Crushed Crumbs 750g Ultimate Dessert Combo Bundle by Choice Masters,Lotus Bundle,364,5,80,1,444,6,0.34%,0.35%,0.10%,0.02%,0.24%,0.08%,413,6,93,1,506,7,0.30%,0.30%,0.09%,0.01%,0.20%,0.07%,56.17%,0.00%,2,0,0.45%,0.00%,£39.72,£0.00,2,0
B08DD1KV4S,B08DD1KV4S,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,ORI04D - 004 Prime,18,0,20,1,38,1,0.02%,0.00%,0.02%,0.02%,0.02%,0.01%,20,0,26,1,46,1,0.01%,0.00%,0.02%,0.01%,0.02%,0.01%,39.53%,0.00%,3,0,7.89%,0.00%,£28.62,£0.00,2,0
B08GCQFWZL,B08GCQFWZL,Fentimans - Victorian Lemonade 275ml Glass Bottle - Pack of 12,FENTIM010 - 003,0,0,6,1,6,1,0.00%,0.00%,0.01%,0.02%,0.00%,0.01%,0,0,6,1,6,1,0.00%,0.00%,0.01%,0.01%,0.00%,0.01%,100.00%,100.00%,2,1,33.33%,100.00%,£45.18,£22.59,2,1
B08GGBFZC2,B08GGBFZC2,Opies Pink Peppercorns with Malt Vinegar - 6x105g,PEP06A - 002,1,0,5,0,6,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,1,0,6,0,7,0,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,66.67%,0.00%,3,0,50.00%,0.00%,£49.77,£0.00,2,0
B08J84387K,B08J84387K,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 200 Portions Exp 04/26,JAM03B - 002,3,0,12,2,15,2,0.00%,0.00%,0.01%,0.03%,0.01%,0.03%,3,0,17,4,20,4,0.00%,0.00%,0.02%,0.05%,0.01%,0.04%,89.47%,100.00%,3,2,20.00%,100.00%,£77.70,£51.80,2,1
B08J856MT8,B08J856MT8,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,JAM03B - 001,117,0,102,5,219,5,0.11%,0.00%,0.12%,0.08%,0.12%,0.06%,163,0,135,5,298,5,0.12%,0.00%,0.13%,0.06%,0.12%,0.05%,95.22%,100.00%,2,0,0.91%,0.00%,£30.68,£0.00,2,0
