(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0DVGYWXJ4,B0DVH343TW,"Callebaut - DARK - 811 Callets - 2.5kg (Sold by Parkers Foodservice) (4 Packs, 2500.0, gram)",CAL02 - 013,6,0,20,6,26,6,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,6,0,22,7,28,7,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,86.36%,100.00%,1,1,3.85%,16.67%,£170.20,£170.20,1,1
B0DVJ8R115,B0DVHX2D31,Callebaut - W2 White - 28% Callets - 2.5kg (Sold by Parkers Foodservice) (4 Packs),CAL04 - 022 Prime,28,0,13,1,41,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36,0,17,2,53,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,91.84%,100.00%,1,0,2.44%,0.00%,£172.15,£0.00,1,0
B0DWBGZGNB,B0DWBGZGNB,Parkers Foodservice Herb De Provence 200gm,HERHER01 - 001 Prime,4,0,3,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,3,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,14.29%,0.00%,£7.49,£0.00,1,0
B0DWY2S8MK,B0DWY2S8MK,Caterers Pride Red Sweet Drop Peppers 800gm - (Pack of 6),MED33C - 002 Prime,5,0,9,0,14,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,0,13,0,24,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,7.14%,0.00%,£39.37,£0.00,1,0
B0DZ2ZW2WZ,B0DZ31V15R,"Callebaut - 823-33.6% Milk Chocolate Callets - 2.5kg - (Sold by Parkers Foodservice) (Pack of 4, 2500, gram)",CAL03 - 012 Prime,5,0,9,2,14,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10,0,9,2,19,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,1,1,7.14%,50.00%,£201.86,£201.86,1,1
B0DZPHBJQQ,B0DZPHBJQQ,Chef William - Dried Parsley - 100gm,HERPAR02 - 002 Prime,2,0,4,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,5,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,3,3,50.00%,0.00%,£21.27,£21.27,1,1
B0F3FLJG17,B0F3FLJG17, ,TWIN002 - 011,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,£24.49,£0.00,1,0
B0F3PFBTYC,B0F3PFBTYC,Cacao Barry Rouge Ultime Cocoa Powder 1kg (Pack of 6),CHO01B - 002,7,0,10,1,17,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,19,6,27,6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.83%,100.00%,1,0,5.88%,0.00%,£111.01,£0.00,1,0
B0F44DL819,B0F44DL819,Roquito Hot Honey 720gm - (Pack of 5),HON07 - 002,6,0,4,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,4,0,10,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,10.00%,0.00%,£31.56,£0.00,1,0
B0F4KR69CC,B0F4KR69CC,Osprio Porridge Oats 2kg,OSPRIO022 - 001 Prime,4,0,3,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,3,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,3,0,42.86%,0.00%,£25.32,£0.00,1,0
B0F6762CG6,B0F6762CG6,"Hartley’s Orange Breakfast Marmalade 3.18kg x 2 – Large Bulk Pack – Ideal for Foodservice, Baking & Spreading",PRE01D - 002,3,0,4,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,4,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,1,14.29%,0.00%,£28.99,£28.99,1,1
B0F6M9C8GM,B0F6M9C8GM, ,CLE23A - 001,0,0,7,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,7,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,83.33%,0.00%,1,0,14.29%,0.00%,£30.24,£0.00,1,0
B0F7LXJS5D,B0F7LXJS5D,Cacao Barry Extra Brute & Plein Arôme Cocoa Powder Bundle – 2 x 1kg Premium Baking Cocoa Callebaut,Cacao Barry Bundle - 001 Prime,21,0,10,1,31,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40,0,11,1,51,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.89%,100.00%,1,0,3.23%,0.00%,£51.56,£0.00,1,0
B0F7M4YBQF,B0F7M4YBQF,"Osprio Yellow Split Peas 3kg – Premium Pulses for Cooking, Soups & Curries",OSPRIO023 - 001 Prime,3,0,3,1,6,1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4,0,5,2,9,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,2,2,33.33%,200.00%,£19.78,£19.78,1,1
B0F8R9G1TV,B0F8R9G1TV,Centaur - Duck Fat - 1kg - (Pack of 6),FAT03C - 002,6,0,9,0,15,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,10,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,93.75%,0.00%,1,0,6.67%,0.00%,£60.99,£0.00,1,0
B0F8W1CW5P,B0F8W1CW5P,Lee Kum Kee Premium Light Soy Sauce – 1.75L Bottle | Naturally Brewed Chinese Soy Sauce for Cooking & Dipping,SOY06 - 003,5,0,3,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,4,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.89%,0.00%,1,0,12.50%,0.00%,£9.98,£0.00,1,0
B0F8W88SKH,B0F8W88SKH,Belvoir - GINGER Beer - 12 x 275ml,BEL04A - 001,5,0,6,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,12,0,20,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,9.09%,0.00%,£25.99,£0.00,1,0
