(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0D35VQML8,B0D35VQML8,Jantex - Kitchen Cleaner & Sanitiser - 750ml (6),CLE04 - 003 Prime,41,9,0.02%,0.15%,58,14,0.02%,0.17%,96.49%,100.00%,21,5,51.22%,55.56%,£494.62,£119.58,18,5
B0DFHLHT1M,B0DFHLHT1M,"Parkers Foodservice Robert Scott - Microfibre Cloth Bundle - PINK, GREEN, BLUE - 3 x 10 x 40cm x 40cm",Bundle - 195 Prime,62,2,0.03%,0.03%,93,2,0.03%,0.02%,91.76%,100.00%,20,0,32.26%,0.00%,£356.04,£0.00,18,0
B0F7MNF5WY,B0F7MNF5WY,Osprio Gluten Free Panko Breadcrumbs 1kg – Light & Crispy Japanese-Style Coating for Frying & Baking,OSPRIO019 - 001 Prime,344,9,0.16%,0.15%,448,11,0.16%,0.13%,96.02%,85.71%,21,0,6.10%,0.00%,£209.79,£0.00,18,0
B0FL2YV9RR,B0FL2YV9RR,"Callebaut Fine Hazelnut Praline Paste – 1 kg Bucket – 50% Hazelnuts – Smooth Caramelised Nut Paste for Chocolates, Mousse & Pastries",BAK13 - 002,241,6,0.11%,0.10%,328,8,0.12%,0.10%,98.32%,100.00%,18,1,7.47%,16.67%,£389.55,£21.74,18,1
B004BLBWXI,B004BLBWXI,Fattoria Estense Italian Condimento Bianco – Premium White Balsamic Vinegar Dressing 500ml,VIN22B Prime,106,1,0.05%,0.02%,139,1,0.05%,0.01%,95.08%,0.00%,22,0,20.75%,0.00%,£292.39,£0.00,17,0
B0087OSN0A,B0087OSN0A,Sosa Airbag Flour Air Bag Porc Farina Crispy Pork Flour 600 g,SOS06D - 001 Prime,68,6,0.03%,0.10%,74,6,0.03%,0.07%,94.52%,100.00%,32,19,47.06%,316.67%,£808.27,£476.90,17,7
B00OUJMOK6,B008K4HNOY,Callebaut W2 Finest Belgian White Chocolate Callets 28.0% Cocoa 2.5kg,CAL04 - 009 One Day,74,4,0.03%,0.06%,94,4,0.03%,0.05%,70.45%,33.33%,18,3,24.32%,75.00%,£631.02,£105.27,17,2
B08LM9RPPZ,B08CBL1SRX,Tate & Lyle - Caster Sugar - Fine Crystals for Smooth Blending and Baking - Perfect for Sponge Cakes & Pastries - Available in Different Sizes - 6 x 2kg,TATECA001 - 001,67,8,0.03%,0.13%,80,11,0.03%,0.13%,85.94%,66.67%,17,2,25.37%,25.00%,£392.19,£43.50,17,2
B0B9K7DLWQ,B08JN8WCLF,The Bay Tree Marinated Mini Figs 600g,MED07D - 004,105,1,0.05%,0.02%,144,1,0.05%,0.01%,98.37%,0.00%,22,1,20.95%,100.00%,£312.14,£13.70,17,1
B08T5Z2P9Y,B08T5Z2P9Y,Whole Red Glace Cherries 1KG,DRI12,180,4,0.08%,0.06%,233,4,0.08%,0.05%,96.23%,100.00%,19,0,10.56%,0.00%,£258.56,£0.00,17,0
B0CM9WJ7TB,B0CM9WJ7TB,Bulky Soft White 2ply Napkins 2000 x 40cm x 40cm / 8 fold (32042),NAPKIN103 - 001 One Day,43,17,0.02%,0.27%,62,31,0.02%,0.37%,38.33%,0.00%,21,0,48.84%,0.00%,£963.27,£0.00,17,0
B0CPJZ889Z,B0CPKCVG66,Profiterole Shells 75 x 4cm (1),TAR10B - 010 Prime,115,6,0.05%,0.10%,146,8,0.05%,0.10%,100.00%,100.00%,17,3,14.78%,50.00%,£353.38,£62.28,17,3
B0CSKMLVTL,B0CSKMLVTL,REGGIA Orzo Pasta 500gm (Pack of 5),PAS70A - 005 Prime,87,3,0.04%,0.05%,100,3,0.04%,0.04%,96.77%,100.00%,18,0,20.69%,0.00%,£203.66,£0.00,17,0
B0CV4G7YM2,B0CV4G7YM2,"Premium Salted Caramel sauce | 2 x Monin Salted Caramel Sauce 500ml for Mochas, Coffee, Chocolate, Dessert Sauce, ice cream topping and more",MONINT03 - 004,134,0,0.06%,0.00%,168,0,0.06%,0.00%,82.47%,0.00%,19,0,14.18%,0.00%,£367.04,£0.00,17,0
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,BAK30 - 001 Prime,107,5,0.05%,0.08%,159,6,0.06%,0.07%,99.26%,100.00%,26,11,24.30%,220.00%,£285.74,£120.89,17,4
B01B7GJWCW,B01B7GJWCW,"Tate & Lyle - Fairtrade Dark Soft Brown Sugar - Rich Treacly Flavour and Moist Texture - Can Be Used for Baking, Puddings & Savoury Dishes - 25kg Bulk Sugar Bag",TATESO001B - 002,43,3,0.02%,0.05%,64,3,0.02%,0.04%,100.00%,100.00%,16,4,37.21%,133.33%,£625.99,£155.96,16,4
B071NH9HKM,B071NH9HKM,Middleton Foods Chinese Meat Glaze Marinade Seasoning Mix 2.5kg,POW01 - 001 Prime,136,2,0.06%,0.03%,164,2,0.06%,0.02%,70.13%,100.00%,16,0,11.76%,0.00%,£343.84,£0.00,16,0
