(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B00BEVX006,B00BEVX006,Valrhona White Baking Chocolate Chips 35% (Ivory) 1 kg,74,0,0.01%,0.00%,87,0,0.01%,0.00%,30.12%,0.00%,8,0,10.81%,0.00%,£309.92,£0.00,5,0
B00BQAUS1Y,B00BQAUS1Y,SOSA Powdered Smoke 500 g,39,2,0.01%,0.01%,42,2,0.00%,0.01%,61.90%,100.00%,5,2,12.82%,100.00%,£132.10,£52.84,5,2
B0DYF6XMNW,B00DYQ6IVW,"Bisto Flavoursome & Delicious for Meat Gravy Granules for Hearty Family Mealtimes, 1.8 kg Tub (Pack of 1)",826,16,0.11%,0.06%,"1,077",22,0.11%,0.06%,0.81%,0.00%,5,0,0.61%,0.00%,£97.85,£0.00,5,0
B00K2DUZZA,B00K2DUZZA,Tate & Lyle Icing Sugar 25Kg x 1 pack,13,0,0.00%,0.00%,17,0,0.00%,0.00%,100.00%,0.00%,5,0,38.46%,0.00%,£185.05,£0.00,5,0
B00NQY4V70,B00NQY4V70,"Nihon Shokken Japanese Classic Dressing, 1000 millilitre",17,3,0.00%,0.01%,20,3,0.00%,0.01%,94.44%,66.67%,6,2,35.29%,66.67%,£117.66,£39.22,5,1
B017IYOO0W,B017IYOO0W,Free & Easy Dairy Free Cheese Flavour Sauce Mix 130g - Pack of 2,50,0,0.01%,0.00%,62,0,0.01%,0.00%,73.21%,0.00%,5,0,10.00%,0.00%,£49.56,£0.00,5,0
B019U61K62,B019U61K62,"Taylors of Harrogate Lapsang Souchong Tea, 20 Individually Wrapped & Tagged Tea Bags (Pack of 6)",230,8,0.03%,0.03%,312,9,0.03%,0.02%,0.00%,0.00%,5,0,2.17%,0.00%,£103.25,£0.00,5,0
B0CF8BK9N9,B01AC6K9ES,Bovril Beef Flavoured Drink - 3 x 450G,243,4,0.03%,0.01%,270,5,0.03%,0.01%,22.53%,20.00%,5,2,2.06%,50.00%,£199.95,£79.98,5,2
B01B86GEGI,B01B86GEGI,Whirl Vegetable Oil Butter Flavour - 5 x 4LTR,20,0,0.00%,0.00%,36,0,0.00%,0.00%,37.14%,0.00%,6,0,30.00%,0.00%,£599.94,£0.00,5,0
B01EX17BSU,B01EX17BSU,( 12 Pack ) Batchelors Original Mushy Peas 300g,27,1,0.00%,0.00%,28,1,0.00%,0.00%,57.14%,0.00%,5,0,18.52%,0.00%,£71.90,£0.00,5,0
B01M9DOGA7,B01M9DOGA7,Caterwrap Baking Parchment 45cm x 50 metres,21,1,0.00%,0.00%,29,1,0.00%,0.00%,80.00%,0.00%,5,0,23.81%,0.00%,£58.65,£0.00,5,0
B0CV151M43,B01MG38XNE,Brown Bag Crisps Lightly Salted 40 g (Pack of 20),143,5,0.02%,0.02%,177,7,0.02%,0.02%,0.00%,0.00%,5,0,3.50%,0.00%,£94.45,£0.00,5,0
B01N2U9VB2,B01N2U9VB2,Henry Winning & Co White Rayon No5 Butchers String/Twine | 260m/500g Reel,28,1,0.00%,0.00%,42,1,0.00%,0.00%,79.49%,100.00%,7,2,25.00%,200.00%,£111.23,£37.28,5,1
B0BPCW84Z7,B01N7RKG7L,"Drink me Chai Artisan Blend Chai Latte 1kg (Pack of 1), Just Add Milk, Vegan & Gluten Free Chai Latte Powder (50 Servings Total)","2,620",121,0.35%,0.45%,"3,609",168,0.37%,0.45%,0.06%,0.00%,8,0,0.31%,0.00%,£163.28,£0.00,5,0
B071YQBYWK,B071YQBYWK,Middleton Foods Pepper Steak Meat Glaze Marinade Seasoning Mix 2.5kg,19,0,0.00%,0.00%,27,0,0.00%,0.00%,85.19%,0.00%,5,0,26.32%,0.00%,£115.35,£0.00,5,0
B073D2Q88P,B072C9H213,"Crusha Milkshake Mix Chocolate Flavour No Added Sugar, 500 ml",128,2,0.02%,0.01%,155,2,0.02%,0.01%,22.38%,0.00%,5,0,3.91%,0.00%,£35.45,£0.00,5,0
B076QJYTZ5,B076QJYTZ5,Dr. Oetker Scotbloc White Chocolate Flavoured Drops - 3kg (single),20,1,0.00%,0.00%,22,2,0.00%,0.01%,77.27%,0.00%,7,0,35.00%,0.00%,£232.46,£0.00,5,0
B0772VKZFH,B0772VKZFH,Macphie - OTT Strawberry Dessert Topping Sauce 500g,58,1,0.01%,0.00%,66,1,0.01%,0.00%,35.00%,0.00%,5,0,8.62%,0.00%,£36.88,£0.00,5,0
B079GZW2B1,B079GZW2B1,"Saver Bundle Callebaut, 54% Dark Chocolate Chips (2 x 1kg Bundle)",39,1,0.01%,0.00%,53,1,0.01%,0.00%,92.00%,100.00%,5,0,12.82%,0.00%,£204.85,£0.00,5,0
B07B9KPHXM,B07B9KPHXM,"Callebaut 3 x 2.5kg Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",122,6,0.02%,0.02%,149,7,0.02%,0.02%,20.98%,28.57%,5,0,4.10%,0.00%,£617.42,£0.00,5,0
B07KM7K7MC,B07KM7K7MC,Maggi Original Gravy Mix - 2x1.8kg,150,1,0.02%,0.00%,183,1,0.02%,0.00%,21.64%,0.00%,5,0,3.33%,0.00%,£167.07,£0.00,5,0
B07N7S2CNS,B07N7S2CNS,Essential Cuisine - No.1 Gravy - Savoury Gravy Mix (Vegetarian & Vegan) 1.5kg,23,2,0.00%,0.01%,23,2,0.00%,0.01%,69.57%,0.00%,8,4,34.78%,200.00%,£196.08,£98.04,5,1
B07N88XDMK,B07N88XDMK,Essential Cuisine - Premier Jus - Lamb Jus (Concentrated Base) 1kg,6,0,0.00%,0.00%,7,0,0.00%,0.00%,100.00%,0.00%,5,0,83.33%,0.00%,£178.20,£0.00,5,0
B07XZB5HN9,B07XZB5HN9,"Acquerello Aged Carnaroli Rice, 2 x 500g",26,1,0.00%,0.00%,33,3,0.00%,0.01%,90.32%,100.00%,10,1,38.46%,100.00%,£193.90,£19.39,5,1
B082P6H6GD,B082P6H6GD,KTC Malt Vinegar - 5 Litres,31,0,0.00%,0.00%,31,0,0.00%,0.00%,96.77%,0.00%,5,0,16.13%,0.00%,£43.90,£0.00,5,0
B0865SRC76,B0865SRC76,Freshers Blackcurrant Squash Drink No Added Sugar 5 Litre,48,5,0.01%,0.02%,74,8,0.01%,0.02%,50.82%,0.00%,6,0,12.50%,0.00%,£75.00,£0.00,5,0
B088FRQ5ZW,B088FRQ5ZW,Triple Lion Tapioca Pearl - 1x3kg,36,3,0.00%,0.01%,43,3,0.00%,0.01%,28.57%,100.00%,5,1,13.89%,33.33%,£71.85,£14.37,5,1
B08TMV1CGB,B08TMV1CGB,Capers in Brine 1.7KG Lefktro,50,2,0.01%,0.01%,61,2,0.01%,0.01%,91.53%,100.00%,5,3,10.00%,150.00%,£79.95,£47.97,5,3
B08WPMK3Z8,B08WPMK3Z8,Alpen The Original Muesli Sachets - 30x45g,79,7,0.01%,0.03%,101,11,0.01%,0.03%,10.42%,0.00%,5,0,6.33%,0.00%,£79.30,£0.00,5,0
B0946MFV9J,B0946MFV9J,6 Pack of 750ml Cif Professional Formula Glass & Multi-Surface Cleaner Streak and Smear Free Finish,62,7,0.01%,0.03%,84,7,0.01%,0.02%,22.97%,0.00%,5,0,8.06%,0.00%,£91.60,£0.00,5,0
B09JKM6DP9,B09JKM6DP9,Cracked Black Pepper 500g | Triple Lion | Herbs & Seasoning,23,0,0.00%,0.00%,32,0,0.00%,0.00%,73.33%,0.00%,9,0,39.13%,0.00%,£109.53,£0.00,5,0
B09RN5YKW7,B09RN5YKW7,"VALRHONA Cocoa Powder, 250 GR",26,0,0.00%,0.00%,35,0,0.00%,0.00%,90.91%,0.00%,10,0,38.46%,0.00%,£161.90,£0.00,5,0
B0B88S5TFR,B09T3FYC8S,Silver Spoon British Icing Sugar 3kg x 4,37,2,0.00%,0.01%,42,2,0.00%,0.01%,97.37%,100.00%,5,1,13.51%,50.00%,£150.95,£30.19,5,1
B09YYNPBXJ,B09YYNPBXJ,"Atlas Paillette Feuilletine 2.5kg I Ranson I Baking I Patisserie, Yellow",24,2,0.00%,0.01%,39,2,0.00%,0.01%,100.00%,100.00%,5,0,20.83%,0.00%,£162.34,£0.00,5,0
B0B18M2GS4,B0B18M2GS4,"Parkers Wignals Yallo Cold Pressed British Rapeseed Oil 5ltr, Golden Yellow",8,1,0.00%,0.00%,11,1,0.00%,0.00%,77.78%,0.00%,5,0,62.50%,0.00%,£132.47,£0.00,5,0
B0DPJF7N4F,B0B6199GGR,"JACOB'S Mini Cheddars Smoky BBQ Grab Bag, 45 g (Pack of 30)",50,0,0.01%,0.00%,61,0,0.01%,0.00%,28.07%,0.00%,5,0,10.00%,0.00%,£101.53,£0.00,5,0
B0BDM89147,B0BDM89147,"Parkers Lion Blue Cheese Dressing 2.27Litres, White",36,0,0.00%,0.00%,44,0,0.00%,0.00%,95.12%,0.00%,5,0,13.89%,0.00%,£80.25,£0.00,5,0
B0BLWDX5Y2,B0BLWDX5Y2,Colac Banana Topping Sauce 1kg,39,0,0.01%,0.00%,44,0,0.00%,0.00%,90.48%,0.00%,5,1,12.82%,0.00%,£69.55,£13.91,5,1
B0BRXLVG48,B0BQRT9SP5,Jude's | Flat White Coffee Milkshake | 250ml x 12 Cans,27,0,0.00%,0.00%,29,0,0.00%,0.00%,89.66%,0.00%,5,0,18.52%,0.00%,£104.55,£0.00,5,0
B0BT513HLC,B0BT513HLC,Menz & Gasser Strawberry Jam Portions 100 x 20g,36,1,0.00%,0.00%,50,1,0.01%,0.00%,82.61%,100.00%,6,3,16.67%,300.00%,£86.82,£43.41,5,2
B0CBK11YLR,B0CBK11YLR,"Chef William Onion Powder, 500g",42,1,0.01%,0.00%,50,3,0.01%,0.01%,78.26%,0.00%,5,0,11.90%,0.00%,£37.85,£0.00,5,0
B0CD7W81FQ,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",28,1,0.00%,0.00%,33,1,0.00%,0.00%,100.00%,100.00%,5,0,17.86%,0.00%,£50.70,£0.00,5,0
B0CGRH8X19,B0CGRH8X19,"Ariel Professional Liquipods All in One Regular 2x50 Pods (Pack of 2),100 Washes",144,3,0.02%,0.01%,168,3,0.02%,0.01%,38.00%,0.00%,5,0,3.47%,0.00%,£156.73,£0.00,5,0
B0CM9WJ7TB,B0CM9WJ7TB,Bulky Soft White 2ply Napkins 2000 x 40cm x 40cm / 8 fold (32042),40,13,0.01%,0.05%,49,16,0.01%,0.04%,27.66%,0.00%,6,0,15.00%,0.00%,£275.94,£0.00,5,0
B0CPM48KYM,B0CPM48KYM,Northampton Pride Plain White Flour 16kg,48,5,0.01%,0.02%,64,11,0.01%,0.03%,95.00%,100.00%,6,3,12.50%,60.00%,£112.54,£54.54,5,2
B0CPQ6MSG4,B0CPQ6MSG4,Brown Bag Retail Lightly Salted Crisps and Smoked Bacon Crisps (2 Boxes),46,0,0.01%,0.00%,52,0,0.01%,0.00%,100.00%,0.00%,5,0,10.87%,0.00%,£172.48,£0.00,5,0
B0DMLX1WS7,B0CQ2TKCSM,"Luscombe - Sicilian Orange Juice (12 x 27cl) - Sicilian Orange Juice, Grown on Fertile Volcanic Soils - All Natural Ingredients, No Added Sugar, Vegan & Gluten Free",103,5,0.01%,0.02%,143,5,0.01%,0.01%,58.91%,66.67%,5,0,4.85%,0.00%,£161.90,£0.00,5,0
B0CVQJFJRY,B0CVQJFJRY,Caterers Pride Tomato Ketchup 4.3kg,19,1,0.00%,0.00%,23,1,0.00%,0.00%,100.00%,100.00%,5,0,26.32%,0.00%,£63.50,£0.00,5,0
B0CYHN4Y2V,B0CYHD8TXR,Parkers Kerrymaid - WHIPPING CREAM - (GREEN) - 1ltr (6),24,1,0.00%,0.00%,36,1,0.00%,0.00%,100.00%,100.00%,5,0,20.83%,0.00%,£141.95,£0.00,5,0
B0D33ZG5LJ,B0D33RKV9R,"Alpro - Milk For Professionals - 1ltr (6, Coconut)",16,0,0.00%,0.00%,19,0,0.00%,0.00%,94.44%,0.00%,5,0,31.25%,0.00%,£114.50,£0.00,5,0
B0D458KDFL,B0D458KDFL,REGGIA - Cannelloni Tubes - 4 x 250gm,28,0,0.00%,0.00%,31,0,0.00%,0.00%,96.77%,0.00%,5,0,17.86%,0.00%,£51.80,£0.00,5,0
B0D5MNHR14,B0D5MMZ5Q5,"Centaur - Gluten Free - Panko Style Crumbs - 1kg (1 Pack, 1000, gram)",26,4,0.00%,0.01%,29,4,0.00%,0.01%,89.66%,100.00%,6,1,23.08%,25.00%,£62.58,£10.43,5,1
B0D8TMZ8T8,B0D8TMZ8T8,Triple Lion Cajun Seasoning 600gm,11,0,0.00%,0.00%,17,0,0.00%,0.00%,100.00%,0.00%,5,0,45.45%,0.00%,£46.75,£0.00,5,0
B0DBLQ4GLM,B0DBLQ4GLM,Triple Lion Penne Pasta 3kg (Pack of 4),25,0,0.00%,0.00%,32,0,0.00%,0.00%,96.67%,0.00%,5,0,20.00%,0.00%,£138.80,£0.00,5,0
B0DBM88GSP,B0DBM88GSP,Chef William - Panko Breadcrumbs - 1kg,24,0,0.00%,0.00%,33,0,0.00%,0.00%,96.67%,0.00%,6,0,25.00%,0.00%,£46.08,£0.00,5,0
B0DGHJ2LVS,B0DGHJ2LVS,Lazy Bundle - LIME & LEMON Juice - 2 x 1ltr,9,0,0.00%,0.00%,13,0,0.00%,0.00%,100.00%,0.00%,6,0,66.67%,0.00%,£76.98,£0.00,5,0
B0F254MHL3,B0F254MHL3,"Fentimans Curiosity Cola, 275ml Bottles, Pack of 12",146,1,0.02%,0.00%,168,1,0.02%,0.00%,97.59%,0.00%,8,4,5.48%,400.00%,£233.44,£116.72,5,1
B0F4KN5GBN,B0F4KN5GBN,Osprio Giant Cous Cous 1kg,11,0,0.00%,0.00%,12,0,0.00%,0.00%,91.67%,0.00%,5,0,45.45%,0.00%,£37.50,£0.00,5,0
B0F6DDXKJX,B0F6DDXKJX,Cavalier - Original Recipe DIJON Mustard - 1kg - (Yellow tub),23,0,0.00%,0.00%,33,0,0.00%,0.00%,96.77%,0.00%,5,2,21.74%,0.00%,£50.65,£20.26,5,2
B0FGY9BWNZ,B0FGY9BWNZ,Lion Buttermilk Ranch Dressing – 2 × 2.27 L Pack | Creamy Garlic & Herb Catering Sauce,13,3,0.00%,0.01%,17,5,0.00%,0.01%,100.00%,100.00%,8,4,61.54%,133.33%,£224.32,£112.16,5,2
B0FH317Q4R,B0FH317Q4R,Boudin Noire (Black Pudding) 370g – Traditional French Pork Sausage – Shelf Stable – by Centaur Foods,81,0,0.01%,0.00%,103,0,0.01%,0.00%,100.00%,0.00%,5,0,6.17%,0.00%,£62.50,£0.00,5,0
B0FHHPS3LF,B0FHHPS3LF,Jacob’s Mini Cheddars Crinklys Cheese & Onion 30 × 45 g – Crispy Savoury Snack Bundle,25,0,0.00%,0.00%,32,0,0.00%,0.00%,96.43%,0.00%,5,1,20.00%,0.00%,£98.30,£19.66,5,1
B0FL2WNNGW,B0FL2WNNGW,"Callebaut W2 Premium Belgian White Chocolate Callets 28% – W2 Recipe – 1 kg Bag – Smooth Melting Couverture for Baking, Moulding & Enrobing",426,8,0.06%,0.03%,560,13,0.06%,0.04%,6.61%,0.00%,5,0,1.17%,0.00%,£108.62,£0.00,5,0
B0FMGT2HH5,B0FMGT2HH5,La Española Extra Virgin Olive Oil – 3 x 5L Catering Pack | Cold-Pressed Spanish Olive Oil for Cooking & Dressing,49,1,0.01%,0.00%,83,1,0.01%,0.00%,89.86%,0.00%,5,0,10.20%,0.00%,£451.75,£0.00,5,0
B000J4DSGK,B000J4DSGK,fattoria estense balsamic vinegar silver 25cl,11,0,0.00%,0.00%,16,0,0.00%,0.00%,100.00%,0.00%,6,3,54.55%,0.00%,£77.64,£38.82,4,1
B0019SAT94,B0019SAT94,"Cocoa Powder Plein Arome, 1kg",348,6,0.05%,0.02%,454,10,0.05%,0.03%,11.21%,20.00%,4,0,1.15%,0.00%,£96.24,£0.00,4,0
B0C3CV8DRB,B001A483AE,Colman's English Mustard Powder 2kg,94,4,0.01%,0.01%,126,4,0.01%,0.01%,22.41%,0.00%,4,0,4.26%,0.00%,£194.76,£0.00,4,0
B001AO2HCO,B001AO2HCO,Nielsen-massey Pure Peppermint Extract 60 ml,92,1,0.01%,0.00%,123,1,0.01%,0.00%,64.55%,100.00%,5,2,5.43%,200.00%,£41.85,£17.00,4,1
B0CH1LNQ4Y,B0049DH8JA,"MONIN Premium Glasco Lemon syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, 100% Natural Flavours and Colourings",161,6,0.02%,0.02%,211,9,0.02%,0.02%,4.57%,0.00%,4,0,2.48%,0.00%,£45.17,£0.00,4,0
B0CH1LNQ4Y,B0049DMIEA,"MONIN Premium Blueberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings","1,067",24,0.14%,0.09%,"1,350",31,0.14%,0.08%,3.19%,0.00%,4,0,0.37%,0.00%,£56.92,£0.00,4,0
B004Y0OIGO,B004Y0OIGO,Acquerello Carnaroli Rice Aged 1 Year – 2.5kg Vacuum Pack – Premium Italian Risotto Rice,94,2,0.01%,0.01%,120,2,0.01%,0.01%,2.70%,0.00%,4,0,4.26%,0.00%,£134.36,£0.00,4,0
B005KLWD3G,B005KLWD3G,"MONIN Premium Vanilla Sugar Free Syrup 1L for Coffee and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings. Sugar-Free Vanilla Coffee Syrup","10,964",246,1.45%,0.91%,"14,104",323,1.44%,0.87%,0.02%,0.00%,4,0,0.04%,0.00%,£65.04,£0.00,4,0
B0CJ2YY1Z6,B005KR30HI,"Belvoir Farm Sparkling Elderflower Presse - Hand Picked Elderflowers, Traditional Family Recipe, 100% Natural Ingredients, No Artificial Flavourings or Preservatives, Vegan 12 x 275ml Bottles",248,10,0.03%,0.04%,285,13,0.03%,0.04%,2.31%,0.00%,7,2,2.82%,20.00%,£178.50,£51.00,4,1
B0069KOICQ,B0069KOICQ,Doves Farm Baking Powder Bulk 1 kg (Pack of 3),12,0,0.00%,0.00%,14,0,0.00%,0.00%,57.14%,0.00%,24,2,200.00%,0.00%,£691.44,£57.62,4,1
B006DI0DJ6,B006DI0DJ6,Morning Foods Stabilised Oats 25 kg,44,2,0.01%,0.01%,56,2,0.01%,0.01%,84.00%,100.00%,4,0,9.09%,0.00%,£131.16,£0.00,4,0
B008F66BK4,B008F66BK4,"Valrhona Chocolat Noir, Guanaja 70%, 1kg",293,4,0.04%,0.01%,361,9,0.04%,0.02%,15.04%,0.00%,5,0,1.71%,0.00%,£189.95,£0.00,4,0
B00ARBEQQ6,B00ARBEQQ6,"Nutella Single Serve (15g), 120 Count",133,2,0.02%,0.01%,168,4,0.02%,0.01%,14.74%,33.33%,4,1,3.01%,50.00%,£102.64,£25.66,4,1
B00AYY4TAE,B00AYY4TAE,G/Swan Water Chestnut Whole - 227G,7,0,0.00%,0.00%,12,0,0.00%,0.00%,87.50%,0.00%,6,0,85.71%,0.00%,£34.68,£0.00,4,0
B0F8P4WLBQ,B00DUSKC4S,"Lee Kum Kee Gluten Free Oyster Sauce, 2.31 kg (Pack of 1)",465,13,0.06%,0.05%,583,21,0.06%,0.06%,7.26%,25.00%,7,3,1.51%,23.08%,£116.90,£50.10,4,1
B00HKXDK3Y,B00HKXDK3Y,Hertford Corned Beef 2.72Kg,76,1,0.01%,0.00%,100,1,0.01%,0.00%,94.19%,0.00%,5,0,6.58%,0.00%,£148.45,£0.00,4,0
B00OBWGU2K,B00OBWGU2K,Twix 50g - 25 x 50g,113,4,0.01%,0.01%,134,5,0.01%,0.01%,5.51%,0.00%,4,0,3.54%,0.00%,£79.00,£0.00,4,0
B00ORBTVA8,B00ORBTVA8,Lyle's Golden Syrup 7.257kg Case of 2,28,0,0.00%,0.00%,33,0,0.00%,0.00%,25.00%,0.00%,4,1,14.29%,0.00%,£169.24,£42.31,4,1
B00VU3ABXC,B00VU3ABXC,Crusha Chocolate Milkshake Flavouring - 1 x 1Ltr,13,0,0.00%,0.00%,17,0,0.00%,0.00%,17.65%,0.00%,5,0,38.46%,0.00%,£49.40,£0.00,4,0
B0100A3FC4,B0100A3FC4,Brown Bag Crisps | Sea Salt And Vinegar | 20 x 40G,9,0,0.00%,0.00%,12,0,0.00%,0.00%,100.00%,0.00%,4,0,44.44%,0.00%,£74.11,£0.00,4,0
B010E0IVDS,B010E0IVDS,Rowse Clear Blossom Honey Catering Pack 3.17 kg,250,12,0.03%,0.04%,338,15,0.03%,0.04%,2.25%,0.00%,5,0,2.00%,0.00%,£88.50,£0.00,4,0
B0C3CV8DRB,B010E1QJCM,"Colman's Tartare Sauce, 2.25 Litre",175,7,0.02%,0.03%,219,9,0.02%,0.02%,19.90%,0.00%,4,0,2.29%,0.00%,£86.64,£0.00,4,0
B015Y1R1LU,B015Y1R1LU,Bovril Beef Flavoured Drink 450g,166,1,0.02%,0.00%,203,1,0.02%,0.00%,5.76%,0.00%,5,0,3.01%,0.00%,£89.95,£0.00,4,0
B08QDX4141,B01B2VQA8Q,Folkingtons Gently Sparkling Lemon & Mint Presse - 12 x 250ml cans,70,2,0.01%,0.01%,87,2,0.01%,0.01%,23.53%,0.00%,4,0,5.71%,0.00%,£67.72,£0.00,4,0
B01FR0OGNY,B01FR0OGNY,Taylor & Colledge Vanilla Bean Paste 65g (Pack of 4),28,0,0.00%,0.00%,30,0,0.00%,0.00%,96.67%,0.00%,5,2,17.86%,0.00%,£151.00,£60.40,4,2
B0CH1LNQ4Y,B01IRDERGY,"MONIN Elderflower, 1.17 cl",164,3,0.02%,0.01%,179,3,0.02%,0.01%,94.67%,0.00%,5,0,3.05%,0.00%,£69.70,£0.00,4,0
B01L6PASLS,B01L6PASLS,Sosa Yellow Pectin Rapid Set 500 g,29,2,0.00%,0.01%,34,2,0.00%,0.01%,93.55%,100.00%,6,1,20.69%,50.00%,£151.56,£25.26,4,1
B01MQNXSNM,B01MQNXSNM,callebaut 70-30-38 2.5kg,19,2,0.00%,0.01%,29,3,0.00%,0.01%,100.00%,100.00%,4,1,21.05%,50.00%,£198.56,£49.64,4,1
B01MRBZHCT,B01MRBZHCT,MERCHANT GOURMET | Chestnut Puree | 4 x 200g,32,4,0.00%,0.01%,39,4,0.00%,0.01%,97.30%,100.00%,4,0,12.50%,0.00%,£38.56,£0.00,4,0
B01N3L6NKW,B01N3L6NKW,Middletons Hot and Spicy Glaze 2.5kg Resealable Red Tub,18,0,0.00%,0.00%,24,0,0.00%,0.00%,95.65%,0.00%,4,0,22.22%,0.00%,£86.38,£0.00,4,0
B06WWB3C8P,B06WWB3C8P,Bisto Chicken Gravy Granules 1.9kg,31,2,0.00%,0.01%,44,2,0.00%,0.01%,48.84%,50.00%,4,0,12.90%,0.00%,£87.52,£0.00,4,0
B0CH1LNQ4Y,B06XHL3ZLF,Monin Coffee Syrup in Gingerbread 70cl Glass Bottle & 70cl Pump Set,386,4,0.05%,0.01%,407,4,0.04%,0.01%,41.08%,0.00%,4,0,1.04%,0.00%,£78.52,£0.00,4,0
B0713SQ7VP,B0713SQ7VP,Middleton Foods Tikka Meat Glaze Marinade Seasoning Mix 2.5kg,27,1,0.00%,0.00%,37,1,0.00%,0.00%,81.25%,100.00%,4,1,14.81%,100.00%,£95.96,£23.99,4,1
B07LDG9T7D,B07LDG9T7D,"Taylors of Harrogate Classic Chai Tea, 20 Teabags (Pack of 6, Total 120 Teabags)",26,1,0.00%,0.00%,34,1,0.00%,0.00%,81.25%,100.00%,4,0,15.38%,0.00%,£78.76,£0.00,4,0
B07N8DFWJZ,B07N8DFWJZ,Essential Cuisine - The Sauce Collection - Peppercorn Concentrated Sauce Base 800g,45,1,0.01%,0.00%,57,1,0.01%,0.00%,29.09%,0.00%,4,0,8.89%,0.00%,£125.16,£0.00,4,0
B07QM1Y6Z1,B07QM1Y6Z1,"Ktc White Vinegar 5 Litre - Perfect For Pickling, Cleaning, Baking, Marinades And Sauces And Cheese Making - 5 Litre Bottle - Produced In The Uk (1 Pack)",38,0,0.01%,0.00%,58,0,0.01%,0.00%,94.83%,0.00%,4,0,10.53%,0.00%,£36.33,£0.00,4,0
B07RR273D4,B07RR273D4,Squid (Cuttlefish) Ink 90g,98,6,0.01%,0.02%,127,9,0.01%,0.02%,52.54%,20.00%,7,0,7.14%,0.00%,£63.63,£0.00,4,0
B07YFM83VC,B07YFM83VC,"Gochujang Korean Hot Pepper Paste with Sun-Dried Red Chillies, 2 Pack Bundle, No preservatives, No MSG, No Colours - Sweet Things UK TM",370,8,0.05%,0.03%,451,10,0.05%,0.03%,9.78%,10.00%,4,0,1.08%,0.00%,£46.80,£0.00,4,0
B07ZC1B5GC,B07ZC1B5GC,Pasta Reggia Riso Orzo Pasta - 1x500g,45,0,0.01%,0.00%,48,0,0.00%,0.00%,71.11%,0.00%,4,0,8.89%,0.00%,£23.64,£0.00,4,0
B085375VTV,B085375VTV,Sosa - Natural Maltodextrin Powder - 500g,15,1,0.00%,0.00%,19,1,0.00%,0.00%,100.00%,100.00%,4,1,26.67%,100.00%,£41.80,£10.45,4,1
B086R8NRXS,B086R8NRXS,Bonomi Ladyfinger Biscuits (3 x 400g Packs),10,0,0.00%,0.00%,12,0,0.00%,0.00%,33.33%,0.00%,4,0,40.00%,0.00%,£49.64,£0.00,4,0
B087V8L9LZ,B087V8L9LZ,Macphie - Premium Creme Brulee - UHT - Long Shelf Life (1 litres),36,0,0.00%,0.00%,41,0,0.00%,0.00%,95.00%,0.00%,7,0,19.44%,0.00%,£74.99,£0.00,4,0
B08BP87N26,B08BP87N26,Essential Cuisine Chicken Stock Mix - 2x800g,62,1,0.01%,0.00%,78,1,0.01%,0.00%,12.16%,0.00%,4,0,6.45%,0.00%,£179.96,£0.00,4,0
B08PZH36KN,B08PZH36KN,Essential Cuisine - Game Glace 600g,8,0,0.00%,0.00%,14,0,0.00%,0.00%,100.00%,0.00%,4,0,50.00%,0.00%,£129.44,£0.00,4,0
B08RJ8F3QP,B08RJ8F3QP,"Triple Lion Arrowroot Powder 550g – Gluten-Free Tapioca Starch Thickener, Vegan & Vegetarian, BRCGS Certified, Packed in the UK",17,0,0.00%,0.00%,23,0,0.00%,0.00%,77.27%,0.00%,4,0,23.53%,0.00%,£32.20,£0.00,4,0
B08TRJRNWK,B08TRJRNWK,Gluten Free Large Crumb 1Kg - Suitable Panko Alternative,126,7,0.02%,0.03%,158,9,0.02%,0.02%,6.90%,12.50%,7,0,5.56%,0.00%,£66.99,£0.00,4,0
B09BFT4V49,B09BFT4V49,The Cake Decorating Co. British Icing Sugar 25kg,59,6,0.01%,0.02%,79,9,0.01%,0.02%,38.89%,25.00%,4,0,6.78%,0.00%,£155.60,£0.00,4,0
B09VK54B29,B09VK54B29,Lee Kum Kee Premium Dark Soy Sauce 1.75L,35,0,0.00%,0.00%,49,0,0.01%,0.00%,56.82%,0.00%,4,0,11.43%,0.00%,£42.56,£0.00,4,0
B0B8BHCZXG,B0B8BHCZXG,MARMITE ORIGINAL 250G,67,0,0.01%,0.00%,78,0,0.01%,0.00%,96.10%,0.00%,4,0,5.97%,0.00%,£36.04,£0.00,4,0
B0B9FZK2GX,B0B9GXCMVC,Bisto Chicken Gravy Granules 1.9kg,10,0,0.00%,0.00%,19,0,0.00%,0.00%,92.86%,0.00%,4,0,40.00%,0.00%,£90.00,£0.00,4,0
