(Parent) ASIN,(Child) ASIN,Title,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CD7WJGVM,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",107,3,0.01%,0.01%,127,3,0.01%,0.01%,95.87%,100.00%,30,2,28.04%,66.67%,£301.52,£20.28,29,2
B0CRL8N9X9,B0CRL8N9X9,Elsinore Lumpfish Caviar 100g,174,10,0.02%,0.04%,212,13,0.02%,0.04%,81.44%,100.00%,31,3,17.82%,30.00%,£294.19,£28.47,29,3
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,130,4,0.02%,0.01%,185,4,0.02%,0.01%,86.59%,100.00%,39,3,30.00%,75.00%,£366.21,£28.17,29,2
B08BPBPYTF,B08BPBPYTF,Pom Bears Original Ready Salted Crisps - 36x19g,102,4,0.01%,0.01%,126,7,0.01%,0.02%,84.03%,66.67%,31,0,30.39%,0.00%,£822.95,£0.00,27,0
B0CGMYDC3V,B0CGMYDC3V,Golden Swan Vietnamese Prawn Crackers 1 Pack of 2kg - Light and Crispy Authentic Prawn,117,0,0.02%,0.00%,158,0,0.02%,0.00%,93.75%,0.00%,28,0,23.93%,0.00%,£276.77,£0.00,27,0
B0CLS4K9FT,B0CLS4K9FT,Freee Bread Flour Selection Pack - 1 x White Bread Flour 1kg & 1 x Brown Bread Flour 1kg - Total 2 Packets - Free from Gluten,190,2,0.03%,0.01%,230,2,0.02%,0.01%,66.96%,0.00%,27,0,14.21%,0.00%,£276.75,£0.00,27,0
B00CJV396A,B00CJV396A,Freshers Lime Juice Cordial 1 x 5litre,27,1,0.00%,0.00%,40,1,0.00%,0.00%,91.18%,100.00%,28,2,103.70%,200.00%,£298.48,£21.32,26,2
B0CPJZ889Z,B0CPKCVG66,Profiterole Shells 75 x 4cm (1),110,3,0.01%,0.01%,159,3,0.02%,0.01%,99.28%,100.00%,28,2,25.45%,66.67%,£573.44,£40.96,26,2
B0DFMRZ5DP,B0DFMRZ5DP,La Perruche Rough Cut White Sugar Cubes 1kg - (Pack of 4),31,4,0.00%,0.01%,41,4,0.00%,0.01%,97.22%,100.00%,30,11,96.77%,275.00%,£646.80,£237.16,26,7
B00FXMJ15U,B00FXMJ15U,Valrhona Cacao Powder 250 g,125,3,0.02%,0.01%,164,5,0.02%,0.01%,89.24%,100.00%,28,1,22.40%,33.33%,£472.08,£16.86,25,1
B079H1QM33,B079H1QM33,"Saver Bundle Callebaut, Milk & 54% Dark Chocolate Chips (2 x 2.5kg Bundle)",90,2,0.01%,0.01%,137,2,0.01%,0.01%,86.89%,100.00%,27,3,30.00%,150.00%,"£2,293.54",£254.76,25,1
B0F678TNLY,B0F678TNLY,Fontinella Solid Pack Apples – 2.6kg Tin | Pre-Prepared Apple in Natural Juice | Ideal for Baking and Cooking,75,5,0.01%,0.02%,110,5,0.01%,0.01%,98.97%,100.00%,47,2,62.67%,40.00%,£485.37,£20.22,25,1
B002E2K1EW,B002E2K1EW,Lyle's Golden Syrup Poly Bottle 7.26 kg,126,10,0.02%,0.04%,150,13,0.02%,0.04%,32.39%,36.36%,24,4,19.05%,40.00%,£559.44,£93.24,24,4
B07CYTX6MD,B07CYTX6MD,"Callebaut 4 x 400g Bundle - Finest Belgian Dark, Milk & White Chocolate Couverture (Callets)",585,11,0.08%,0.04%,721,13,0.07%,0.04%,55.87%,50.00%,24,1,4.10%,9.09%,£939.87,£39.33,24,1
B07QDB3FLX,B07QDB3FLX,"We Can Source It Ltd - Wrapmaster 4500 Cling Film – 45cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",265,33,0.04%,0.12%,354,45,0.04%,0.12%,23.53%,2.63%,26,2,9.81%,6.06%,£929.53,£78.21,24,2
B00CS6K6AS,B00CS6K6AS,Whirl Vegetable Oil Butter Flavour 1X4LTR,129,3,0.02%,0.01%,164,3,0.02%,0.01%,46.94%,33.33%,29,10,22.48%,333.33%,£658.30,£227.00,23,6
B01DDG8Q7G,B01DDG8Q7G,Callebaut Powerful 80 Percent Dark Chocolate Callets 2.5 kg,151,7,0.02%,0.03%,207,11,0.02%,0.03%,64.47%,66.67%,27,1,17.88%,14.29%,"£1,482.30",£54.90,23,1
B073WRG21Q,B073WRG21Q,Callebaut Mycryo Pure Cocoa Butter Powder 600g,86,7,0.01%,0.03%,107,8,0.01%,0.02%,82.65%,75.00%,29,11,33.72%,157.14%,£965.70,£366.30,23,6
B0CBLYF4Y3,B07CYZZNDR,"Callebaut N° W2 Finest 28% Belgian White Chocolate Couverture (Callets), 400 g",553,9,0.07%,0.03%,743,10,0.08%,0.03%,16.18%,14.29%,23,0,4.16%,0.00%,£305.36,£0.00,23,0
B08W2GKPBD,B08W2GKPBD,Raspberry Vinegar 750ml,97,1,0.01%,0.00%,112,1,0.01%,0.00%,96.30%,100.00%,28,3,28.87%,300.00%,£292.46,£34.47,23,1
B0C1GLZRFT,B0C1GLZRFT,Cacao Barry - ROUGE ULTIME Cocoa Powder 1kg,166,2,0.02%,0.01%,228,4,0.02%,0.01%,98.12%,100.00%,24,0,14.46%,0.00%,£541.20,£0.00,23,0
B0CTQQZLW5,B0CTQQZLW5,Nielsen Massey Vanilla Bean Paste 60ml (Pack of 2),243,2,0.03%,0.01%,304,3,0.03%,0.01%,77.66%,100.00%,25,1,10.29%,50.00%,£624.91,£25.05,23,1
B0FSLVZDLK,B0CWHHPJLN,"Merchant Gourmet Chestnut Puree - Slowly Roasted Rich Puree - Source of Fibre, Low Saturated Fat & Vegan - Ideal for Baking & Desserts - Pack of 6 x 200g Ready-to-eat Pouches",411,15,0.05%,0.06%,515,27,0.05%,0.07%,43.30%,25.00%,24,1,5.84%,6.67%,£287.76,£11.99,23,1
