Category,Product_Count,Total_Sessions,Avg_Sessions,Total_Units,Avg_Conversion_%,Total_Revenue_£,Avg_AOV_£
Stars,55,14118,257.0,5067,35.2,77491.61,16.47
Problem Children,471,513745,1091.0,8096,4.3,154662.63,20.85
Hidden Gems,470,13286,28.0,5248,51.8,109980.22,26.51
Dogs,753,34210,45.0,2935,10.2,68972.88,27.88
