SKU,Title,Sessions,Current_Units,Current_Conversion_%,Current_Revenue_£,Revenue_Opportunity_£
CAL03B - 002,Callebaut Chocolate Callets -Milk- 1 kg,2120.0,28.0,1.32,722.68,17086.22
MONINT03 - 001,"MONIN Premium Salted Caramel Sauce 500ml for Frappes, Desserts, Cocktails, Hot Chocolates and Garnishes. Vegetarian, Nut-Free, Gluten-Free. 100% Natural Flavour. Squeezy Bottle for Easy Use",4227.0,1.0,0.02,12.06,16570.44
CAL02A - 003,Callebaut Select 811 Dark Chocolate Callets 1 kg,1971.0,1.0,0.05,24.82,15884.8
OIL27A - 002 Prime,KTC 100% Pure Coconut Oil 500ml (Pack of 3),3311.0,1.0,0.03,13.99,15053.24
CER21A - 001,"Weetabix, Breakfast, Packed with Fibre, High in Vitamin D, Source of Iron, 96 Portions of 1 Biscuit (18g)",1586.0,5.0,0.32,142.19,14532.84
CAL04AA,"Callebaut Select W2 White Chocolate Callets, 1 kg",1715.0,2.0,0.12,48.56,13499.68
JAM03B - 009 Prime,Country Range Assorted Jam Portions - 1x100x20g,2538.0,7.0,0.28,111.86,13087.62
ORI06B Prime,"Lee Kum Kee Sweet and Sour Sauce, Professional Range Bulk Size, Vegan, 2.3 kg (Pack of 1)",2346.0,1.0,0.04,17.12,13045.44
ORI08C - 001,"Lee Kum Kee Gluten Free Oyster Sauce, 2.31 kg (Pack of 1)",2413.0,8.0,0.33,131.99,12820.5
SWE01 - 005 Prime,"Walkers Shortbread Catering Assorted Biscuit Twin Packs, Golden Oat, Belgian Chocolate, Salted Caramel & Stem Ginger Biscuits (100 x 25g)",1517.0,1.0,0.07,25.91,12747.72
EAGERP001 - 001,"Eager Cloudy Pineapple Juice 100% Pressed, Refreshing Fruit Drink, NFC Not From Concentrate, 1 Litre (Pack of 8)",1185.0,2.0,0.17,65.98,12635.17
ORI06B,"Lee Kum Kee Sweet and Sour Sauce, Professional Range Bulk Size, Vegan, 2.3 kg (Pack of 1)",2346.0,2.0,0.09,33.08,12586.94
MONINF001 a,"Monin Vanilla Frappe Mix 1.36kg Tub - Flavoured Coffee Powder for Coffee Shops - Coffee Roast Level, total_eaches",1429.0,42.0,2.94,1217.54,12262.77
CLE01B - 008,"FAIRY PX03351 Original Hand Dish Washing Liquid, 5 L",1818.0,1.0,0.06,20.69,12207.1
MAY25A - 003,Kewpie Mayonnaise 15.87oz/450g Pack Of 3,1879.0,1.0,0.05,19.98,12187.8
Chef William - 001 Uk shipping,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,2956.0,10.0,0.34,124.9,11890.48
GRA02B,"Bisto Flavoursome & Delicious for Meat Gravy Granules for Hearty Family Mealtimes, 1.8 kg Tub (Pack of 1)",1764.0,1.0,0.06,19.96,11437.08
CAL000000,"Callebaut Select W2 White Chocolate Callets, 1 kg",1715.0,127.0,7.41,3160.1,10723.28
ORI300C - 008 Prime,"KTC Fried Onions, 400 g, Pack of 12",1101.0,4.0,0.36,120.64,10676.64
MAY25A - 003 Prime,Kewpie Mayonnaise 15.87oz/450g Pack Of 3,1879.0,77.0,4.1,1528.15,10599.9
TRU13 - 001 Prime,TruffleHunter - Minced Black Truffle - Preserved Truffles in Extra Virgin Olive Oil - 80g,1417.0,2.0,0.14,46.18,10598.31
MONINS21,"MONIN Premium Tiramisu Syrup 700ml for Coffee, Baking and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",2256.0,1.0,0.04,13.68,10027.44
MONINS27 - 003,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,2252.0,42.0,1.87,546.42,8989.91
CAL04A - 007,Callebaut Select White Chocolate Baking Callets 1 kg,1190.0,30.0,2.52,753.4,8964.27
MONINS07,"MONIN Premium Chai Tea Concentrate 700ml for Chai and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Extracts and Colourings",1957.0,2.0,0.1,27.94,8870.95
FENTIM007 - 002,"Fentimans Mandarin and Seville Orange Jigger - Natural Botanically Brewed Orange Drink - Perfect Mixer - Low Calorie, Gluten-Free and Vegan Soft Drinks - 12 x 275ml",1189.0,7.0,0.59,158.13,8584.2
MONINS33 - 001 Prime,"MONIN Premium Blackberry Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100 Percent Natural Flavours and Colourings. Sugar Syrup",1850.0,9.0,0.49,125.73,8284.21
CAL01A - 002,Callebaut Dark Chocolate Drops 70% 400g Bag,1735.0,30.0,1.73,457.1,8138.16
UHT02C - 006,120 Café Maid Luxury Coffee Creamer Long Life Individual Portions,1619.0,3.0,0.19,45.59,7964.8
BAK01 - 009 Prime,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,3105.0,10.0,0.32,78.6,7860.0
Chef William - 001 Prime,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,2956.0,336.0,11.37,4196.64,7818.74
MONINS05,"MONIN Premium Chocolate Syrup 700ml for Coffee and Cocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours and Colourings",1701.0,8.0,0.47,109.44,7455.6
COL09,"Colman's Original English Mustard Powder, 454 g",1380.0,7.0,0.51,115.57,7297.42
BAK01 - 009,500g Fermipan Yeast Instant Dried Yeast Baker Bakery Baking Bread Dough Catering,3105.0,8.0,0.26,58.09,7274.52
CAL01A - 002 uk shipping,Callebaut Dark Chocolate Drops 70% 400g Bag,1735.0,45.0,2.59,623.25,7188.15
CAL04B - 002,"Callebaut N° W2 Finest 28% Belgian White Chocolate Couverture (Callets), 400 g",1540.0,4.0,0.26,57.44,7136.92
ORI01 - 002 Prime,"Blue Dragon Original Thai Sweet Chilli Dipping Sauce 1L | Medium Heat | Perfect With Goujons, Wraps, Burgers, Chicken, Halloumi & More",2064.0,1.0,0.05,10.51,7041.7
CAL51,"Callebaut N° W2 Finest 28% Belgian White Chocolate Couverture (Callets), 400 g",1540.0,1.0,0.06,13.79,6895.0
CAL52A,Callebaut Milk Chocolate Chips (callets) 400g,1514.0,11.0,0.73,157.19,6887.78
