parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,conversion_rate,avg_order_value,revenue_per_session,is_prime,sku_category
B093CPH8Q9,B00CBJX6MW,"Folkington's Fruit Juice, Cranberry Juice, 12 Glass Bottles, Pure Fruit Juice, Multipack 12 x 250 ml",FOL03 - 001,117,1,0.07,0.02,140,1,0.06,0.02,46.09,0.0,7,0,5.98,0.0,166.67,0.0,7,0,5.982905982905983,23.81,1.4245299145299144,False,FOL
B00D1H4E7E,B00D1H4E7E,"Baba Ghanoush , Eggplant Dip (380g - 13.5oz)",MED10 - 004 Prime,24,1,0.01,0.02,29,1,0.01,0.02,93.1,100.0,9,0,37.5,0.0,79.02,0.0,7,0,37.5,8.78,3.2925,True,MED
B00G02FXE0,B00G02FXE0,CAPIRETE 20 - Spanish Reserve Sherry Vinegar - 750 ml,VIN17 - 001 Prime,35,0,0.02,0.0,53,0,0.02,0.0,88.64,0.0,7,0,20.0,0.0,83.93,0.0,7,0,20.0,11.99,2.398,True,VIN
B00RP191BQ,B00RP191BQ,Odysea Roasted Red Peppers (Pack of 6 x 450g Jars),VEG10B - 001 Prime,22,2,0.01,0.04,25,2,0.01,0.03,91.67,100.0,9,2,40.91,100.0,219.33,48.74,7,1,40.909090909090914,24.37,9.969545454545456,True,VEG
B01122TCFI,B01122TCFI,Bottlegreen Lemongrass with Ginger Cordial (500ml) - Pack of 2,COR51 - 001 Prime,32,0,0.02,0.0,40,0,0.02,0.0,97.37,0.0,8,0,25.0,0.0,115.12,0.0,7,0,25.0,14.39,3.5975,True,COR
B015Q9KRHK,B015Q9KRHK,Tate & Lyle Fairtrade Light Brown Sugar 1kg,TATESO002A - 002 Prime,18,2,0.01,0.04,21,2,0.01,0.03,77.78,50.0,7,1,38.89,50.0,50.54,7.22,7,1,38.88888888888889,7.22,2.807777777777778,True,TATESO
B019U61K62,B019U61K62,"Taylors of Harrogate Lapsang Souchong Tea, 20 Individually Wrapped & Tagged Tea Bags (Pack of 6)",TAYLOR010 - 002,119,2,0.07,0.04,160,2,0.07,0.03,22.0,0.0,7,0,5.88,0.0,112.2,0.0,7,0,5.88235294117647,16.02857142857143,0.9428571428571428,False,TAYLOR
B01FR0OGNY,B01FR0OGNY,Taylor & Colledge Vanilla Bean Paste 65g (Pack of 4),VAN07 - 011,50,1,0.03,0.02,74,1,0.03,0.02,95.08,100.0,13,4,26.0,400.0,389.48,119.84,7,3,26.0,29.96,7.7896,False,VAN
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA uk shipping,46,1,0.03,0.02,57,2,0.02,0.03,84.91,100.0,9,0,19.57,0.0,99.9,0.0,7,0,19.565217391304348,11.100000000000001,2.1717391304347826,False,SPI
B0CV151M43,B01MDQM51I,Brown Bag Crisps West Country Cheddar and Onion 40 g (Pack of 20),CRI34 - uk shipping,48,0,0.03,0.0,76,0,0.03,0.0,83.58,0.0,8,0,16.67,0.0,140.24,0.0,7,0,16.666666666666664,17.53,2.921666666666667,False,CRI
B079H32ZJ8,B079H32ZJ8,"Saver Bundle Callebaut, Milk Chocolate Chips (2 x 2.5kg Bundle)",CAL03P,37,1,0.02,0.02,39,1,0.02,0.02,76.32,0.0,7,2,18.92,200.0,721.56,206.16,7,2,18.91891891891892,103.08,19.50162162162162,False,CAL
B0B73W1QSH,B07D7F7LWF,Fentimans Dandelion & Burdock Drinks - 12x275ml,FENTIM003 - 001 Prime,26,0,0.01,0.0,30,0,0.01,0.0,89.66,0.0,8,0,30.77,0.0,183.78,0.0,7,0,30.76923076923077,22.9725,7.068461538461539,True,FENTIM
B07STF2KM9,B07STF2KM9,Original SNICKERS Chocolate BAR 24 x 50g Full Box Fresh Stock,CHO28A - 002 Prime,268,7,0.15,0.15,364,9,0.16,0.14,10.0,0.0,7,0,2.61,0.0,122.15,0.0,7,0,2.6119402985074625,17.45,0.4557835820895523,True,CHO
B07SWQDHX3,B07SWQDHX3,"Monin Honeycomb Coffee & Cocktail Syrup Plastic Bottle 1 Litre (1 Bottle, No Pumps)",MONIN21A,15,0,0.01,0.0,19,0,0.01,0.0,100.0,0.0,7,0,46.67,0.0,108.5,0.0,7,0,46.666666666666664,15.5,7.233333333333333,False,MONIN
B0DTKNDTVK,B07VMMK2F8,"Rummo Casarecce No.88 - Artisan Italian Pasta, Ideal for Capturing Rich Sauces, 500g (Pack of 1)",RUMMO014 - 001,120,2,0.07,0.04,151,2,0.07,0.03,87.94,0.0,11,0,9.17,0.0,67.65,0.0,7,0,9.166666666666666,6.15,0.5637500000000001,False,RUMMO
B082P6H6GD,B082P6H6GD,KTC Malt Vinegar - 5 Litres,VIN01A - 001,34,0,0.02,0.0,43,0,0.02,0.0,97.3,0.0,8,0,23.53,0.0,68.4,0.0,7,0,23.52941176470588,8.55,2.011764705882353,False,VIN
B08GCRG2JQ,B08GCRG2JQ,Fentimans - Mandarin & Seville Orange Jigger 275ml Glass Bottle - Pack of 24,FENTIM007 - 004,9,0,0.01,0.0,16,0,0.01,0.0,81.82,0.0,7,0,77.78,0.0,270.73,0.0,7,0,77.77777777777779,38.675714285714285,30.081111111111113,False,FENTIM
B08T5Z2P9Y,B08T5Z2P9Y,Whole Red Glace Cherries 1KG,DRI12,32,0,0.02,0.0,36,0,0.02,0.0,97.14,0.0,7,0,21.88,0.0,82.74,0.0,7,0,21.875,11.819999999999999,2.585625,False,DRI
B09RV19H2N,B09RV19H2N,Buchanans Mixed Dried Fruit Selection with Peel (3kg) | Perfect for Baking Fruit Cakes and Loaves | Suitable for Vegan & Vegetarian,DRIMIX001-002,27,2,0.02,0.04,30,2,0.01,0.03,100.0,100.0,7,0,25.93,0.0,125.23,0.0,7,0,25.925925925925924,17.89,4.638148148148148,False,DRIMIX
B09SHFYSH5,B09SHFYSH5,Centaur Toasted Fregola | Suitable for Vegans and Vegetarians,CER50-001,54,0,0.03,0.0,65,0,0.03,0.0,100.0,0.0,7,0,12.96,0.0,75.25,0.0,7,0,12.962962962962962,10.75,1.3935185185185186,False,CER
B0B99329X1,B0B99329X1,Parkers Kerrymaid UHT Double Cream 12 x 1 Litre,UHT03B - 002,100,4,0.06,0.09,119,5,0.05,0.08,98.21,100.0,9,2,9.0,50.0,428.49,95.22,7,1,9.0,47.61,4.2849,False,UHT
B0BQRRFJHX,B0BQRRFJHX,Meadowchurn Aerosol Cream 1 x 500g,UHT05 - 001,26,1,0.01,0.02,37,1,0.02,0.02,100.0,100.0,9,3,34.62,300.0,82.35,27.45,7,1,34.61538461538461,9.149999999999999,3.167307692307692,False,UHT
B0BWYXP7Z9,B0BWYXP7Z9,Chef William Sage & Onion Stuffing 3kg,STU01A - 001,14,0,0.01,0.0,19,0,0.01,0.0,88.89,0.0,10,0,71.43,0.0,126.8,0.0,7,0,71.42857142857143,12.68,9.057142857142857,False,STU
B0C1GLZRFT,B0C1GLZRFT,Cacao Barry - ROUGE ULTIME Cocoa Powder 1kg,CHO01B - 001 Prime,92,3,0.05,0.06,128,4,0.06,0.06,97.35,100.0,7,0,7.61,0.0,171.64,0.0,7,0,7.608695652173914,24.52,1.8656521739130434,True,CHO
B0CTQWB8HG,B0CTQWB8HG,"Mae Ploy Authentic Thai Assorted Curry Paste 400g - Massaman, Red, Green & Yellow Curry Sauce (Pack of 4) HALAL",Mae Ploy Bundle - 003 Prime,77,1,0.04,0.02,85,1,0.04,0.02,91.25,100.0,7,0,9.09,0.0,122.43,0.0,7,0,9.090909090909092,17.490000000000002,1.59,True,M
B0CVLG4MT9,B0CVLCWXB3,"Taylors Tea 1 x 20 Bags (1, Chamomile)",TAYLOR012 - 001 Prime,19,2,0.01,0.04,29,2,0.01,0.03,100.0,100.0,27,2,142.11,100.0,183.87,13.62,7,1,142.10526315789474,6.8100000000000005,9.677368421052632,True,TAYLOR
B0CZ17G94Q,B0CZ17G94Q,Riverdene - Redcurrant Jelly - 2.72kg,CON02B - 001 Prime,14,0,0.01,0.0,17,0,0.01,0.0,100.0,0.0,8,1,57.14,0.0,128.32,16.04,7,1,57.14285714285714,16.04,9.165714285714285,True,CON
B0DG3594P5,B0DG3594P5,Brown Bag - LIGHTLY SALTED Crisps - 2 X 20 x 40gm - (2 BOXES),CRI30 - 002 Prime,30,1,0.02,0.02,39,1,0.02,0.02,100.0,100.0,7,0,23.33,0.0,223.41,0.0,7,0,23.333333333333332,31.915714285714284,7.447,True,CRI
B0DPJ458LV,B0DPJ458LV,Centaur - Duck Fat - 1kg,FAT03C - 001,116,5,0.06,0.11,143,9,0.06,0.14,97.67,100.0,8,1,6.9,20.0,103.72,13.0,7,1,6.896551724137931,12.965,0.8941379310344828,False,FAT
B0DX26ZRG8,B0DX26ZRG8,Strianese Peeled Plum Tomatoes 2.5kg,VEG01E - 001,97,2,0.05,0.04,124,2,0.05,0.03,97.39,100.0,8,0,8.25,0.0,76.72,0.0,7,0,8.24742268041237,9.59,0.7909278350515464,False,VEG
B00348MFQW,B00348MFQW,Fattoria Estense Balsamic Vinegar Gold Label (1 X 8.5 OZ) by Fattoria Estense,VIN25a,22,0,0.01,0.0,38,0,0.02,0.0,78.95,0.0,16,0,72.73,0.0,313.92,0.0,6,0,72.72727272727273,19.62,14.26909090909091,False,VIN
B006ZYANKW,B006ZYANKW,Burts Potato Chips Sea Salted 150 g (Pack of 10),CRI10 - 001,3,0,0.0,0.0,3,0,0.0,0.0,100.0,0.0,6,0,200.0,0.0,112.15,0.0,6,0,200.0,18.691666666666666,37.38333333333333,False,CRI
B082YPRCFS,B007OTVFOA,Hikari Shinshu Awase Miso 1 Kg (Pack of 2),ORI52B - PRIME,57,1,0.03,0.02,83,1,0.04,0.02,10.53,0.0,6,0,10.53,0.0,74.1,0.0,6,0,10.526315789473683,12.35,1.2999999999999998,True,ORI
B0893J69DV,B008B39Q3A,Lazy Lemon Juice 1 Litre (Pack of 6),JUI01 - 001,65,13,0.04,0.28,94,20,0.04,0.31,18.82,12.5,8,2,12.31,15.38,188.08,47.02,6,2,12.307692307692308,23.51,2.8935384615384616,False,JUI
B00BD5Y43K,B00BD5Y43K,Sottaceti Rizzi Borettane Onions in Balsamic Vinegar Tin - 2.5kg,MED32B - 001 Uk shipping,122,0,0.07,0.0,159,0,0.07,0.0,28.37,0.0,6,0,4.92,0.0,104.04,0.0,6,0,4.918032786885246,17.34,0.8527868852459017,False,MED
B00BOO74EQ,B00BOO74EQ,CaterWrap Catering Quality Baking Parchment 300mm x 50m,CATER003 - 001 Prime,67,4,0.04,0.09,77,4,0.03,0.06,13.51,25.0,7,0,10.45,0.0,68.11,0.0,6,0,10.44776119402985,9.73,1.0165671641791045,True,CATER
B0CH1LNQ4Y,B01IRDERGY,"MONIN Elderflower, 1.17 cl",MONINS41 - 002 Prime,191,2,0.11,0.04,210,2,0.09,0.03,82.76,0.0,7,0,3.66,0.0,95.76,0.0,6,0,3.664921465968586,13.680000000000001,0.5013612565445027,True,MONINS
B01N5NW4Y0,B01N5NW4Y0,"Heinz English HOT Mustard Sachet, 7ml (Case 250)",HEI10C - 001,9,2,0.01,0.04,9,2,0.0,0.03,88.89,50.0,6,1,66.67,50.0,123.9,20.65,6,1,66.66666666666666,20.650000000000002,13.766666666666667,False,HEI
B07572KVJT,B07572KVJT,"Lyle's Maple Flavour Syrup Poly Container, 2.8 kg, Pack of 4",TATESY003 - 002,40,6,0.02,0.13,51,6,0.02,0.09,21.28,0.0,6,0,15.0,0.0,208.95,0.0,6,0,15.0,34.824999999999996,5.22375,False,TATESY
B077BRH48F,B077BRH48F,"Sarson's - Malt Vinegar PTB, 12 x 300ml, British Vinegar - Classic Taste for Chips, Marinades, Condiments - Traditional UK Recipe, Gluten-Free",VIN02 - 001,98,4,0.05,0.09,118,6,0.05,0.09,85.71,0.0,6,0,6.12,0.0,124.92,0.0,6,0,6.122448979591836,20.82,1.2746938775510204,False,VIN
B0B7B633LM,B07D7DS53G,Tate & Lyle Rough Cut White Sugar Cubes 1kg,TATECU002 - 001,199,24,0.11,0.52,250,36,0.11,0.56,9.87,20.59,12,11,6.03,45.83,99.6,91.3,6,5,6.030150753768844,8.299999999999999,0.5005025125628141,False,TATECU
B07NYS4WPJ,B07NYS4WPJ,DGF - Nappage Blond - Apricot Flavoured Clear Glaze 1kg,BAK55 - 002,20,1,0.01,0.02,22,1,0.01,0.02,85.0,100.0,6,2,30.0,200.0,70.38,23.46,6,2,30.0,11.729999999999999,3.5189999999999997,False,BAK
B0865HL6TV,B0865HL6TV,Freshers Orange Squash Drink No Added Sugar 5 Litre,COR34A - 002,39,4,0.02,0.09,45,7,0.02,0.11,52.27,0.0,6,0,15.38,0.0,63.18,0.0,6,0,15.384615384615385,10.53,1.6199999999999999,False,COR
B0887CXKPY,B0887CXKPY,Chefs Brigade Cooked and Peeled Quail Eggs - 1x48,EGG04,169,4,0.09,0.09,222,8,0.1,0.12,50.97,14.29,11,0,6.51,0.0,262.31,0.0,6,0,6.508875739644971,23.846363636363638,1.5521301775147929,False,EGG
B08DD1KV4S,B08DD1KV4S,FLYING GOOSE Hoi Sin Sauce 1 x 730 ml,ORI04D - 004 Prime,22,1,0.01,0.02,26,2,0.01,0.03,69.57,100.0,6,0,27.27,0.0,57.24,0.0,6,0,27.27272727272727,9.540000000000001,2.601818181818182,True,ORI
B08TMMR32J,B08TMMR32J,Caperberries in Brine 1.58KG Lefktro,CAP03A,54,2,0.03,0.04,73,2,0.03,0.03,97.01,100.0,8,0,14.81,0.0,107.04,0.0,6,0,14.814814814814813,13.38,1.9822222222222223,False,CAP
B08W2JPB6C,B08W2JPB6C,Wild Rice 1Kg - Centaur Brand,RIC16,40,1,0.02,0.02,55,1,0.02,0.02,95.74,100.0,7,0,17.5,0.0,135.94,0.0,6,0,17.5,19.419999999999998,3.3985,False,RIC
B0937G5SSG,B0937G5SSG,Lyle's Golden Syrup Maple Flavour 2.80kg,TATESY003 - 001,118,3,0.07,0.06,159,3,0.07,0.05,19.05,0.0,6,0,5.08,0.0,74.34,0.0,6,0,5.084745762711865,12.39,0.63,False,TATESY
B0DDKP91L9,B0968DH592,"Alexander Home The Original European Mill (Brass, 8-Inch Salt)",TOO09 - 001 Prime,329,3,0.18,0.06,449,8,0.2,0.12,87.83,100.0,6,0,1.82,0.0,373.74,0.0,6,0,1.82370820668693,62.29,1.1359878419452887,True,TOO
B09BG6J3JR,B09BG6J3JR,"Elsinore - Cockles in Vinegar, Ready to Eat, 200g (Pack of 6)",ELSIN003 - 001 Prime,49,2,0.03,0.04,56,2,0.02,0.03,96.08,0.0,8,0,16.33,0.0,165.44,0.0,6,0,16.3265306122449,20.68,3.376326530612245,True,ELSIN
B0B9FZK2GX,B09T3D914S,Bisto Gravy Granules 1.9kg,GRA02 - 005,37,1,0.02,0.02,55,1,0.02,0.02,62.5,0.0,6,0,16.22,0.0,111.54,0.0,6,0,16.216216216216218,18.59,3.0145945945945947,False,GRA
B09YYNPBXJ,B09YYNPBXJ,"Atlas Paillette Feuilletine 2.5kg I Ranson I Baking I Patisserie, Yellow",BAK16A - 001,22,0,0.01,0.0,32,0,0.01,0.0,100.0,0.0,7,0,31.82,0.0,216.3,0.0,6,0,31.818181818181817,30.900000000000002,9.831818181818182,False,BAK
B0B18M2GS4,B0B18M2GS4,"Parkers Wignals Yallo Cold Pressed British Rapeseed Oil 5ltr, Golden Yellow",OIL12 - 001 Prime,18,1,0.01,0.02,24,1,0.01,0.02,100.0,100.0,7,0,38.89,0.0,184.66,0.0,6,0,38.88888888888889,26.38,10.258888888888889,True,OIL
B0BQWRRYJS,B0BQWRRYJS,Triple Lion Mango Chutney 2.8kg,CHU00C - 001,18,1,0.01,0.02,24,1,0.01,0.02,100.0,100.0,6,0,33.33,0.0,70.38,0.0,6,0,33.33333333333333,11.729999999999999,3.9099999999999997,False,CHU
B0CB13FTZM,B0CB13FTZM,South Downs Water Still CANS 24 x 330ml,SOUTHD007 - 001 prime,27,0,0.02,0.0,30,0,0.01,0.0,100.0,0.0,7,0,25.93,0.0,126.98,0.0,6,0,25.925925925925924,18.14,4.702962962962963,True,SOUTHD
B0CN3NRK7H,B0CN3KYG4D,"Fresher's Juice Drinks 5ltr (No Added Sugar Orange, 1)",COR34A - 004,167,3,0.09,0.06,194,3,0.08,0.05,98.88,100.0,6,1,3.59,33.33,64.74,10.79,6,1,3.592814371257485,10.79,0.3876646706586826,False,COR
B0CPQ3HHF8,B0CPQ3HHF8,"Brown Bag Oak Smoked Chilli Crisps and Tiger Prawn, Chilli & Lime Crisps (2 Boxes)",Crisps Bundle - 005 Prime,33,0,0.02,0.0,37,0,0.02,0.0,97.22,0.0,6,0,18.18,0.0,198.6,0.0,6,0,18.181818181818183,33.1,6.018181818181818,True,C
B0CSKN49MX,B0CSKN49MX,REGGIA Orzo Pasta 500gm (Pack of 2),PAS70A - 004 Prime,37,0,0.02,0.0,40,0,0.02,0.0,94.59,0.0,7,0,18.92,0.0,47.04,0.0,6,0,18.91891891891892,6.72,1.2713513513513512,True,PAS
B0CTQTWCQK,B0CTQTWCQK,Dried Fermipan Yeast 500gm (Pack of 6),BAK01 - 005 Prime,14,0,0.01,0.0,18,0,0.01,0.0,100.0,0.0,7,1,50.0,0.0,172.55,24.65,6,1,50.0,24.650000000000002,12.325000000000001,True,BAK
B0CYM3JTT4,B0CYM3JTT4,Parkers MAGNA - San Marzano Tomatoes (Tin) - 2.55kg,VEG31 - 001 Prime,42,1,0.02,0.02,52,1,0.02,0.02,100.0,100.0,18,10,42.86,,230.22,127.9,6,1,42.857142857142854,12.79,5.481428571428571,True,VEG
B0D5D7ZHMC,B0D5DCC2RZ,"Firefly (12 x 330ml, KIWI, LIME & MINT)",FIREF003 - 002 Prime,47,0,0.03,0.0,55,0,0.02,0.0,88.68,0.0,6,0,12.77,0.0,139.5,0.0,6,0,12.76595744680851,23.25,2.9680851063829787,True,FIREF
B0DBR6986W,B0DBR6986W,Colac Banana Topping Sauce 1kg (Pack of 2),TOP15 - 002 Prime,19,2,0.01,0.04,25,3,0.01,0.05,100.0,100.0,6,3,31.58,150.0,148.02,74.01,6,3,31.57894736842105,24.67,7.790526315789474,True,TOP
B0DDXX812Z,B0DDXX812Z,"Anti-Bacterial Probe Wipes, Alcohol-Free, Quat-Free, 200 Wipes, Sheet Size: 12cm x 15cm",NON40B - 001 Prime,14,1,0.01,0.02,19,1,0.01,0.02,94.12,100.0,7,2,50.0,200.0,67.69,19.34,6,2,50.0,9.67,4.835,True,NON
B0DK253NT9,B0DK253NT9,"Galaxy Hot Chocolate, Add Milk, 2kg",HOT06A - 001 Prime,208,7,0.12,0.15,274,7,0.12,0.11,7.03,0.0,6,1,2.88,14.29,123.23,20.85,6,1,2.8846153846153846,20.538333333333334,0.5924519230769231,True,HOT
B0DWV3C8JC,B0DWV3C8JC,The Bay Tree Spicy Tomato & Onion Chutney 3kg,CHU36 - 002 Prime,46,2,0.03,0.04,56,3,0.02,0.05,100.0,100.0,6,1,13.04,50.0,173.4,28.9,6,1,13.043478260869565,28.900000000000002,3.7695652173913046,True,CHU
B001AO2HCO,B001AO2HCO,Nielsen-massey Pure Peppermint Extract 60 ml,ESS18 - 002,39,0,0.02,0.0,51,0,0.02,0.0,95.56,0.0,5,0,12.82,0.0,41.4,0.0,5,0,12.82051282051282,8.28,1.0615384615384615,False,ESS
B093CPH8Q9,B005TFYI0O,"Folkington's Tomato Juice, 12 Glass Bottles, Pure Juice, Multipack 12 x 250 ml",FOL06 - 001 Prime,66,1,0.04,0.02,83,1,0.04,0.02,92.21,100.0,5,0,7.58,0.0,126.45,0.0,5,0,7.575757575757576,25.29,1.915909090909091,True,FOL
B006NYD6Z8,B006NYD6Z8,Colavita Limonolio Lemon Extra Virgin Olive Oil 250ml,OLAVI007 - 001,36,0,0.02,0.0,46,0,0.02,0.0,56.41,0.0,5,0,13.89,0.0,47.55,0.0,5,0,13.88888888888889,9.51,1.3208333333333333,False,OLAVI
B0CF542CNX,B007TKGTAY,Jantex Professional Kitchen Multi-Surface Cleaner and Sanitiser Spray - Odourless and Ready To Use | 750ml | Antibacterial BS EN 1276 | CF968,CLE04 - 001,395,90,0.22,1.95,535,135,0.23,2.11,19.01,0.0,6,0,1.52,0.0,40.44,0.0,5,0,1.5189873417721518,6.739999999999999,0.10237974683544303,False,CLE
B0083U0400,B0083U0400,Premium Grade Wakame 500g,ORI51C uk shipping,233,3,0.13,0.06,303,4,0.13,0.06,9.12,0.0,6,0,2.58,0.0,74.76,0.0,5,0,2.575107296137339,12.46,0.32085836909871246,False,ORI
B008LE65XS,B008LE65XS,jose lobato Spanish Sherry Vinegar 75cl,VIN16B - 003 Prime,37,0,0.02,0.0,49,0,0.02,0.0,64.44,0.0,7,3,18.92,0.0,69.93,29.97,5,1,18.91891891891892,9.99,1.8900000000000001,True,VIN
B00BQAUS1Y,B00BQAUS1Y,SOSA Powdered Smoke 500 g,SOS51 - 001,38,4,0.02,0.09,42,4,0.02,0.06,97.5,100.0,5,1,13.16,25.0,147.45,29.49,5,1,13.157894736842104,29.49,3.8802631578947366,False,SOS
B00E7P9ZGO,B00E7P9ZGO,Batchelors Original Mushy Peas - 1x3kg,VEG06B - 005 Prime,32,0,0.02,0.0,46,0,0.02,0.0,100.0,0.0,9,0,28.13,0.0,100.8,0.0,5,0,28.125,11.2,3.15,True,VEG
B00FXMJ15U,B00FXMJ15U,Valrhona Cacao Powder 250 g,VALRHO002,70,0,0.04,0.0,116,0,0.05,0.0,82.18,0.0,6,0,8.57,0.0,95.58,0.0,5,0,8.571428571428571,15.93,1.3654285714285714,False,VALRHO
B00JC9E7PY,B00JC9E7PY,Doves Farm Organic & Gluten Free Baking Powder 1kg,BAK06C - 002,57,3,0.03,0.06,76,4,0.03,0.06,80.56,33.33,8,0,14.04,0.0,94.16,0.0,5,0,14.035087719298245,11.77,1.6519298245614034,False,BAK
B0CHW3HGWD,B00LJXQID0,"Special Ingredients Crackle Crystals Popping Candy 500g - Suitable for Vegetarians, Non-GMO, Gluten Free, Non-Irradiated",SWE21 - 001 Prime,1384,14,0.77,0.3,1543,16,0.67,0.25,30.65,25.0,5,1,0.36,7.14,98.45,19.69,5,1,0.36127167630057805,19.69,0.07113439306358382,True,SWE
B010E0R4FO,B010E0R4FO,Lea Perrins Worcester Sauce 2Ltr,CON12A - Prime,46,1,0.03,0.02,55,1,0.02,0.02,32.69,0.0,6,0,13.04,0.0,135.09,0.0,5,0,13.043478260869565,22.515,2.9367391304347827,True,CON
B016AH1U9G,B016AH1U9G,"Acquerello Carnaroli Risotto Rice, 2.5kg",RIC17,23,0,0.01,0.0,31,0,0.01,0.0,96.67,0.0,5,0,21.74,0.0,163.9,0.0,5,0,21.73913043478261,32.78,7.126086956521739,False,RIC
B01BNJ6FY6,B01BNJ6FY6,"Tate and Lyle Fairtrade Demerara Rough Cut Sugar Cubes, 1kg",TATECU001 - 007,52,4,0.03,0.09,65,7,0.03,0.11,16.95,0.0,6,0,11.54,0.0,50.58,0.0,5,0,11.538461538461538,8.43,0.9726923076923076,False,TATECU
B073TXT6Y2,B01CJXCBOS,Bottlegreen Ginger and Lemongrass Cordial 500 ml (Pack of 6),COR51 - 005 Prime,27,5,0.02,0.11,31,5,0.01,0.08,0.0,0.0,5,0,18.52,0.0,160.3,0.0,5,0,18.51851851851852,32.06,5.937037037037038,True,COR
B01ITOKA6W,B01ITOKA6W,Monin Peach Syrup 70cl Bottle - Set of 6 - Peach Syrup Flavouring for Cocktails,MONINS30 - 004,11,4,0.01,0.09,16,7,0.01,0.11,93.33,100.0,6,5,54.55,125.0,350.22,291.85,5,4,54.54545454545454,58.370000000000005,31.83818181818182,False,MONINS
B0CV151M43,B01MG38XNE,Brown Bag Crisps Lightly Salted 40 g (Pack of 20),CRI30 - uk shipping,96,1,0.05,0.02,117,2,0.05,0.03,37.38,0.0,5,0,5.21,0.0,87.65,0.0,5,0,5.208333333333334,17.53,0.9130208333333334,False,CRI
B01MTSFO5Q,B01MTSFO5Q,Pickled Onions in Balsamic Vinegar - Borettane Onions in Balsamic Vinegar - Pickled Onions - 2.5 Kg Tin,MED32B - 002,75,0,0.04,0.0,106,0,0.05,0.0,73.74,0.0,6,0,8.0,0.0,113.94,0.0,5,0,8.0,18.99,1.5191999999999999,False,MED
B0CRYRZYBW,B01N9OZZBH,Callebaut Chocolate Callets -Milk- 1 kg,CAL03B - 002,658,13,0.37,0.28,939,21,0.41,0.33,2.91,0.0,6,0,0.91,0.0,154.86,0.0,5,0,0.911854103343465,25.810000000000002,0.23534954407294834,False,CAL
B075CQZMJ3,B075CQZMJ3,Tate & Lyle Fairtrade Dark Muscovado - 500g (1.1lbs),TATEMU001 - 005 Prime,23,1,0.01,0.02,29,1,0.01,0.02,100.0,100.0,5,0,21.74,0.0,29.6,0.0,5,0,21.73913043478261,5.92,1.2869565217391306,True,TATEMU
B077BB7933,B077BB7933,Opies Raspberry Compote - 1x1.2kg,COMPOT02 - 001 Prime,25,0,0.01,0.0,28,0,0.01,0.0,100.0,0.0,5,4,20.0,0.0,86.15,68.92,5,4,20.0,17.23,3.446,True,COMPOT
B0CBM1ZSKB,B0794VMZ8G,"Callebaut Finest Belgian Dark Chocolate, Brown, 400 g",CAL02B - 003,435,9,0.24,0.19,613,15,0.27,0.23,3.65,0.0,6,0,1.38,0.0,89.28,0.0,5,0,1.3793103448275863,14.88,0.20524137931034483,False,CAL
B0794ZBTZY,B0794ZBTZY,Callebaut Dark Chocolate Drops 70% 400g Bag,CAL01A - 002 uk shipping,647,8,0.36,0.17,850,12,0.37,0.19,2.99,0.0,5,0,0.77,0.0,69.25,0.0,5,0,0.7727975270479135,13.85,0.10703245749613602,False,CAL
B079Q7JM76,B079Q7JM76,"Centaur Foods Quality 100% French Hazelnut Oil 500ml Amazing for Cooking, Skincare and Hair",OIL18A - 001,9,2,0.01,0.04,14,2,0.01,0.03,100.0,100.0,5,1,55.56,50.0,59.1,11.82,5,1,55.55555555555556,11.82,6.566666666666666,False,OIL
B07K1CPB4V,B07K1CPB4V,Whitakers Mints 1Kg (Mint Crisps 1kg),AFT04B - 001,20,4,0.01,0.09,33,6,0.01,0.09,83.33,83.33,7,4,35.0,100.0,151.76,86.72,5,3,35.0,21.68,7.587999999999999,False,AFT
B07N7MR7BW,B07N7MR7BW,Essential Cuisine - Fish Stock Mix - 700g,STO22,29,0,0.02,0.0,35,0,0.02,0.0,74.19,0.0,6,0,20.69,0.0,162.24,0.0,5,0,20.689655172413794,27.040000000000003,5.59448275862069,False,STO
B07PDB4C7S,B07PDB4C7S,"We Can Source It Ltd - Caterwrap PVC Cling Film - Kitchen, Restaurant & Catering Use - 45cm x 300m Roll",CATER006 - 001 Prime,35,2,0.02,0.04,47,5,0.02,0.08,40.0,75.0,5,0,14.29,0.0,67.85,0.0,5,0,14.285714285714285,13.569999999999999,1.9385714285714284,True,CATER
B07PF88F7L,B07PF88F7L,"We Can Source It Ltd - Wrapmaster 4500 Kitchen Foil - Aluminium Foil - Foil Wrap - For Catering, Packing, Cooking, Baking, Roasting - Foil Paper - Multipurpose Silver Foil Wrap - 45cm x 90m - Box of 3",WRA04 - 002,42,1,0.02,0.02,52,1,0.02,0.02,52.08,0.0,6,0,14.29,0.0,335.5,0.0,5,0,14.285714285714285,55.916666666666664,7.988095238095238,False,WRA
