parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,conversion_rate,avg_order_value,revenue_per_session,is_prime,sku_category
B003QNVCEG,B003QNVCEG,Callebaut Mycryo Cocoa Butter Powder 600 g,BAK24 - 001,87,2,0.05,0.04,117,2,0.05,0.03,84.4,0.0,14,0,16.09,0.0,506.94,0.0,14,0,16.091954022988507,36.21,5.826896551724138,False,BAK
B003U4LPG6,B003U4LPG6,j leblanc Champagne Vinegar 50cl,VIN24,29,3,0.02,0.06,45,7,0.02,0.11,100.0,100.0,15,0,51.72,0.0,195.9,0.0,14,0,51.724137931034484,13.06,6.755172413793104,False,VIN
B0CV151M43,B07FN52R4T,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",CRI35,48,0,0.03,0.0,67,0,0.03,0.0,77.19,0.0,16,0,33.33,0.0,303.14,0.0,14,0,33.33333333333333,18.94625,6.315416666666667,False,CRI
B0CWLM5T7R,B0CWLM5T7R,Elsinore Lumpfish Caviar 100gm (Pack of 6),ELSIN001 - 005 Prime,21,2,0.01,0.04,24,2,0.01,0.03,95.24,100.0,14,2,66.67,100.0,489.86,69.98,14,2,66.66666666666666,34.99,23.326666666666668,True,ELSIN
B0DFD3HJ7Z,B0DFD3HJ7Z,HAZLEMERE Goose Fat - 1kg,FAT00C - 001 Prime,64,2,0.04,0.04,80,6,0.03,0.09,93.59,100.0,15,0,23.44,0.0,264.6,0.0,14,0,23.4375,17.64,4.134375,True,FAT
B005TG9OJI,B005TG9OJI,Pom-Bear Original (Box of 36 x 19g Bags),CRI50 - 002,87,4,0.05,0.09,121,6,0.05,0.09,36.52,0.0,18,0,20.69,0.0,409.68,0.0,13,0,20.689655172413794,22.76,4.70896551724138,False,CRI
B077P8VZGM,B077P8VZGM,Tate And Lyle Golden Caster Sug Fair Trade 1Kg,TATECA003 - 004,19,0,0.01,0.0,20,0,0.01,0.0,90.0,0.0,14,0,73.68,0.0,97.3,0.0,13,0,73.68421052631578,6.95,5.121052631578947,False,TATECA
B0CV151M43,B07ZB5K9ZD,Brown Bag Crisps - Rosemary and Sea Salt 40g (Pack of 20),KY-B3GZ-JQ9Y,103,1,0.06,0.02,129,1,0.06,0.02,57.02,0.0,13,0,12.62,0.0,247.32,0.0,13,0,12.62135922330097,19.024615384615384,2.4011650485436893,False,KY
B088FRQ5ZW,B088FRQ5ZW,Triple Lion Tapioca Pearl - 1x3kg,CER20,46,1,0.03,0.02,61,1,0.03,0.02,100.0,0.0,15,1,32.61,100.0,202.8,13.52,13,1,32.608695652173914,13.520000000000001,4.408695652173913,False,CER
B08BPBPYTF,B08BPBPYTF,Pom Bears Original Ready Salted Crisps - 36x19g,CRI50 - 001,49,3,0.03,0.06,58,4,0.03,0.06,82.46,0.0,13,0,26.53,0.0,344.37,0.0,13,0,26.53061224489796,26.490000000000002,7.027959183673469,False,CRI
B08DRLXNKG,B08DRLXNKG,Heinz Tartare Sauce Sachets - 200x,HEI10D - 001,43,2,0.02,0.04,53,2,0.02,0.03,96.0,100.0,15,0,34.88,0.0,336.75,0.0,13,0,34.883720930232556,22.45,7.8313953488372094,False,HEI
B08WHKR88F,B08WHKR88F,Tonka Beans 250g Centaur,KZ-ITK0-EINK,36,1,0.02,0.02,53,1,0.02,0.02,82.22,100.0,13,3,36.11,300.0,350.87,80.97,13,3,36.11111111111111,26.990000000000002,9.74638888888889,False,KZ
B093T7TS2H,B093T7TS2H,Cider Vinegar 5L Lefktro Brand,VIN14 - 001,29,0,0.02,0.0,37,0,0.02,0.0,97.14,0.0,22,0,75.86,0.0,235.62,0.0,13,0,75.86206896551724,10.71,8.124827586206896,False,VIN
B0BDMG238X,B0BDMG238X,Lion French Mustard 2.27 Litres,LIO02 - 001,83,0,0.05,0.0,97,0,0.04,0.0,95.79,0.0,13,0,15.66,0.0,168.48,0.0,13,0,15.66265060240964,12.959999999999999,2.029879518072289,False,LIO
B0C5418F7F,B0C5418F7F,Seasoners Traditional Pickled Onions 2.25kg,PIC05A - 001,141,0,0.08,0.0,175,0,0.08,0.0,98.72,0.0,14,0,9.93,0.0,195.86,0.0,13,0,9.929078014184398,13.99,1.3890780141843972,False,PIC
B0CD7W81FQ,B0CD7W81FQ,"Crusha Milk Shake Syrup 1ltr (Strawberry, 1)",CRUSHA003 - 003 Prime,108,2,0.06,0.04,153,6,0.07,0.09,97.76,100.0,14,1,12.96,50.0,141.55,10.12,13,1,12.962962962962962,10.110714285714286,1.3106481481481482,True,CRUSHA
B0CFB8YHPN,B0CFB5M7BH,"Mars, Kinder, Cadbury and Nestle Chocolate Bulk Buy (Mars 24 x 51g Box, (1 Pack))",CHO31B - 008,137,7,0.08,0.15,158,10,0.07,0.16,78.01,0.0,13,0,9.49,0.0,239.62,0.0,13,0,9.48905109489051,18.432307692307692,1.749051094890511,False,CHO
B0CW3NMR7N,B0CW3NMR7N,Seasoners Traditional Pickled Onions 2.25kg (Pack of 2),PIC05A - 002 Prime,23,0,0.01,0.0,30,0,0.01,0.0,100.0,0.0,13,0,56.52,0.0,285.87,0.0,13,0,56.52173913043478,21.990000000000002,12.429130434782609,True,PIC
B0CYHN4Y2V,B0CYHJYDSD,Parkers Kerrymaid - WHIPPING CREAM - (GREEN) - 1ltr (2),UHT03 - 004 Prime,108,3,0.06,0.06,151,3,0.07,0.05,95.2,100.0,13,0,12.04,0.0,160.42,0.0,13,0,12.037037037037036,12.34,1.4853703703703702,True,UHT
B0D45NPK7W,B0D45NPK7W,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),Bundle - 124 Prime,55,5,0.03,0.11,67,7,0.03,0.11,96.72,100.0,16,5,29.09,100.0,315.2,98.5,13,4,29.09090909090909,19.7,5.7309090909090905,True,B
B0DXL8V4R1,B0DTV3Q76H,Jersey Dairy Jersey Dairy Luxury Dairy Ice Cream Mix x 1 Litre,UHT31B - 005,648,12,0.36,0.26,841,18,0.37,0.28,60.56,28.57,14,0,2.16,0.0,114.1,0.0,13,0,2.1604938271604937,8.15,0.17608024691358024,False,UHT
B07T925GN6,B004Y18G8E,French coarse sea salt from Guerande Le Guerandais-gros sel de Guerande - 1000 gr,SAL21 - 001 Prime,98,3,0.05,0.06,133,6,0.06,0.09,96.06,100.0,18,0,18.37,0.0,130.86,0.0,12,0,18.367346938775512,7.2700000000000005,1.3353061224489797,True,SAL
B008X6CR0O,B008X6CR0O,"Monin Vanilla Frappe Mix 1.36kg Tub - Flavoured Coffee Powder for Coffee Shops - Coffee Roast Level, total_eaches",MONINF001 a,580,17,0.32,0.37,762,22,0.33,0.34,18.34,44.44,13,3,2.24,17.65,376.61,86.91,12,2,2.2413793103448274,28.970000000000002,0.6493275862068966,False,MONINF
B085W1RFJP,B085W1RFJP,Premium Quality Nocellara Olives 1.5kg tub - Green Olive with Stone - Nocellara Del Belice Olives - 100% Sicilian - Packed with Olive Oil and Rapeseed Oil - Freshly Packed in Britain - Vegan!,OLI07 - 002,93,3,0.05,0.06,115,3,0.05,0.05,56.48,50.0,15,2,16.13,66.67,224.7,29.96,12,1,16.129032258064516,14.979999999999999,2.4161290322580644,False,OLI
B0B9K7DLWQ,B088CG2ZC1,"The Bay Tree Marinated Mini Figs, 330 g",MED07E - 001 Prime,90,1,0.05,0.02,120,1,0.05,0.02,95.33,100.0,13,0,14.44,0.0,138.97,0.0,12,0,14.444444444444443,10.69,1.544111111111111,True,MED
B08W2GKPBD,B08W2GKPBD,Raspberry Vinegar 750ml,VIN13A,51,0,0.03,0.0,67,0,0.03,0.0,93.55,0.0,13,0,25.49,0.0,126.1,0.0,12,0,25.49019607843137,9.7,2.4725490196078432,False,VIN
B09HZCTLR4,B09HZCTLR4,Merchant Gourmet Whole Chestnuts - 1x500g,NUT15E - 002,66,2,0.04,0.04,80,3,0.03,0.05,97.3,100.0,12,0,18.18,0.0,108.68,0.0,12,0,18.181818181818183,9.056666666666667,1.6466666666666667,False,NUT
B0C3MHTFHM,B0C3MHTFHM,Callebaut Milk Couverture Power 41 Chocolate 2.5kg,CAL09 - 002 prime,333,7,0.19,0.15,417,7,0.18,0.11,28.94,0.0,12,0,3.6,0.0,668.64,0.0,12,0,3.6036036036036037,55.72,2.007927927927928,True,CAL
B0C5418F7F,B0C5418F7F,Seasoners Traditional Pickled Onions 2.25kg,PIC05A - 001 Prime,141,0,0.08,0.0,175,0,0.08,0.0,98.72,0.0,14,0,9.93,0.0,209.86,0.0,12,0,9.929078014184398,14.99,1.4883687943262411,True,PIC
B0C6B56HQ6,B0C6B56HQ6,Forvm Cabernet Sauvignon Balsamic-Style Vinegar – 500 ml – Solera-Aged Spanish Red Wine Vinegar (8 Years),VIN61 - 001,52,1,0.03,0.02,66,1,0.03,0.02,95.38,100.0,17,6,32.69,600.0,286.62,101.16,12,1,32.69230769230769,16.86,5.511923076923077,False,VIN
B0CJQKPVZ8,B0CJQJJT1X,"Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Kiwi, Lime & Mint",FIREF003 - 004 Prime,24,0,0.01,0.0,30,0,0.01,0.0,96.3,0.0,12,0,50.0,0.0,275.28,0.0,12,0,50.0,22.939999999999998,11.469999999999999,True,FIREF
B0CPJRP1FJ,B0CPJRP1FJ,QP Japanese Mayonnaise Condiment Sauce 450g (Pack of 2),MAY25A - 004 Prime,53,0,0.03,0.0,69,0,0.03,0.0,77.05,0.0,12,0,22.64,0.0,188.29,0.0,12,0,22.641509433962266,15.690833333333332,3.552641509433962,True,MAY
B0CRL2H2RB,B0CRL2H2RB,Flora Plant Based Double Cream Alternative 1ltr,FLORA004 - 001,204,1,0.11,0.02,248,1,0.11,0.02,99.57,0.0,19,0,9.31,0.0,186.01,0.0,12,0,9.313725490196079,9.79,0.911813725490196,False,FLORA
B0CH1LNQ4Y,B0026LWDM4,"MONIN Premium Green Mint Syrup 700ml for Cocktails and Mocktails. Vegan-Friendly, Allergen-Free, 100% Natural Flavours",MONINS09,438,3,0.24,0.06,508,3,0.22,0.05,40.37,0.0,12,0,2.74,0.0,134.52,0.0,11,0,2.73972602739726,11.21,0.3071232876712329,False,MONINS
B0087OSN0A,B0087OSN0A,Sosa Airbag Flour Air Bag Porc Farina Crispy Pork Flour 600 g,SOS06D - 001 Prime,45,6,0.03,0.13,51,7,0.02,0.11,93.88,100.0,15,4,33.33,66.67,352.05,93.88,11,3,33.33333333333333,23.470000000000002,7.823333333333333,True,SOS
B00DI7Y2W4,B00DI7Y2W4,LEFKTRO LILLIPUT Capers 1kg Drained Weight,CAP02C - 001,25,1,0.01,0.02,33,1,0.01,0.02,96.67,100.0,11,1,44.0,100.0,194.26,17.66,11,1,44.0,17.66,7.7703999999999995,False,CAP
B0B83WTLG5,B01B7GJWE0,Tate and Lyle Fairtrade Icing Sugar 25 kg,TATEIC001 - 001,26,2,0.01,0.04,33,2,0.01,0.03,80.65,50.0,15,2,57.69,100.0,538.35,71.78,11,1,57.692307692307686,35.89,20.70576923076923,False,TATEIC
B07H1HW13V,B07H1HW13V,Puro Balsamic Glaze 500ml,VIN04B,47,2,0.03,0.04,61,2,0.03,0.03,100.0,0.0,11,0,23.4,0.0,82.06,0.0,11,0,23.404255319148938,7.46,1.7459574468085106,False,VIN
B07PF7X2DP,B07PF7X2DP,"We Can Source It Ltd - Wrapmaster 3000 Cling Film – 30cm x 300m, 3 Rolls – Premium Kitchen Wrap for Professional Catering, Food Preservation, and Freezing – Compatible with Wrapmaster Dispensers",WRA01 - 003,90,6,0.05,0.13,117,7,0.05,0.11,24.32,0.0,13,1,14.44,16.67,368.02,33.46,11,1,14.444444444444443,28.30923076923077,4.0891111111111105,False,WRA
B086QSFC3C,B086QSFC3C,Freshers Lime 5ltr Juice Cordial,COR20A - 001,15,1,0.01,0.02,21,1,0.01,0.02,95.24,0.0,15,0,100.0,0.0,166.35,0.0,11,0,100.0,11.09,11.09,False,COR
B08J856MT8,B08J856MT8,Menz and Gasser Assorted Jam Portions - Individual Portions of Delicious Assorted Jam Perfect for Breakfast Travel - Pack of 100 Portions Exp 04/26,JAM03B - 001 Prime,140,5,0.08,0.11,191,6,0.08,0.09,96.93,100.0,20,2,14.29,40.0,318.4,31.84,11,2,14.285714285714285,15.919999999999998,2.274285714285714,True,JAM
B09RQS4SBQ,B09RQS4SBQ,"Buchanans Glace Red Cherries, 1 Kg Tub, Perfect For Baking, Decorating Cakes, Tarts, Panettones and Cookies",DRI12B-002,94,4,0.05,0.09,113,4,0.05,0.06,96.23,50.0,11,1,11.7,25.0,127.69,11.59,11,1,11.702127659574469,11.608181818181817,1.3584042553191489,False,DRI
B0BDS1J64S,B0BDS1J64S,"Parkers Katsuobushi Dried Bonito Flakes, 500g, Cream",ORI60 - 001,57,6,0.03,0.13,67,6,0.03,0.09,95.31,100.0,13,5,22.81,83.33,519.87,199.95,11,3,22.807017543859647,39.99,9.120526315789474,False,ORI
B0CCPJL4SC,B0CCPFNNJ1,Busch Meringue Drops 100gm,SWE03E - 001,188,1,0.1,0.02,246,1,0.11,0.02,99.56,100.0,13,0,6.91,0.0,79.17,0.0,11,0,6.914893617021277,6.09,0.4211170212765957,False,SWE
B0CSKMLVTL,B0CSKMLVTL,REGGIA Orzo Pasta 500gm (Pack of 5),PAS70A - 005 Prime,175,1,0.1,0.02,198,1,0.09,0.02,96.35,100.0,11,0,6.29,0.0,114.07,0.0,11,0,6.2857142857142865,10.37,0.6518285714285714,True,PAS
B0D1GKMVN4,B0D1GKMVN4,Parkers Seasoners - Pickled SILVERSKIN Onions - 2.25kg (drained weight 1.3kg),PIC03D - 001 Prime,55,0,0.03,0.0,77,0,0.03,0.0,100.0,0.0,12,0,21.82,0.0,143.88,0.0,11,0,21.818181818181817,11.99,2.616,True,PIC
B00IORZ7JU,B00IORZ7JU,Bovril Beef Flavoured Drink 2 x 450g Catering Tub Granules 180 Servings BRITISH FOOD SHOP (BFSBOV2),HOT04B - 008 uk shipping,313,3,0.17,0.06,351,7,0.15,0.11,96.39,0.0,11,0,3.51,0.0,322.19,0.0,10,0,3.5143769968051117,29.29,1.0293610223642173,False,HOT
B01N2OJ8RO,B01N2OJ8RO,Folkington's Cloudy Pear Juice 250 ml (Pack of 12),FOL02 - 002,17,1,0.01,0.02,21,1,0.01,0.02,100.0,0.0,11,1,64.71,100.0,257.29,23.39,10,1,64.70588235294117,23.39,15.134705882352943,False,FOL
B073WRG21Q,B073WRG21Q,Callebaut Mycryo Pure Cocoa Butter Powder 600g,BAK24 - 002,49,5,0.03,0.11,72,6,0.03,0.09,56.92,100.0,10,1,20.41,20.0,362.1,36.21,10,1,20.408163265306122,36.21,7.389795918367348,False,BAK
