parent_asin,child_asin,title,sku,sessions_total,sessions_b2b,session_percentage_total,session_percentage_b2b,page_views_total,page_views_b2b,page_views_percentage_total,page_views_percentage_b2b,buy_box_percentage,buy_box_percentage_b2b,units_ordered,units_ordered_b2b,unit_session_percentage,unit_session_percentage_b2b,sales_total,sales_b2b,order_items_total,order_items_b2b,is_prime,base_sku,sku_category,conversion_rate,avg_order_value,revenue_per_session,buy_box_win_rate,high_conversion,high_revenue
B01BNJ5ZEW,B01BNJ5ZEW,"Tate & Lyle Fairtrade Unrefined Demerara Pure Cane Sugar, 1kg",TATEDE002 - 002,1,0,0.11,0.0,2,0,0.16,0.0,0.0,0.0,1,0,100.0,0.0,6.31,0.0,1,0,False,TATEDE002 - 002,TATEDE,100.0,6.31,6.31,0.0,False,False
B01BNJ82F6,B01BNJ82F6,Tate and Lyle Dark Soft Brown Sugar 25 kg,TATESO001B - 001,1,1,0.11,2.17,1,1,0.08,1.54,100.0,100.0,1,1,100.0,100.0,38.3,38.3,1,1,False,TATESO001B - 001,TATESO,100.0,38.3,38.3,100.0,False,False
B01BTOSIQI,B01BTOSIQI,Nielsen-Massey Peppermint Extract 60 ml,ESS18 - 003,3,0,0.32,0.0,4,0,0.32,0.0,75.0,0.0,1,0,33.33,0.0,8.29,0.0,1,0,False,ESS18 - 003,ESS,33.33333333333333,8.29,2.763333333333333,75.0,False,False
B01G3T5R18,B01G3T5R18,KTC Crispy Fried Onions - 4 x 400g,ORI300C - 010,5,2,0.53,4.35,5,2,0.4,3.08,20.0,50.0,1,1,20.0,50.0,13.74,13.74,1,1,False,ORI300C - 010,ORI,20.0,13.74,2.748,20.0,False,False
B01H5GE1PG,B01H5GE1PG,"Taylors of Harrogate Lemon and Ginger Tea, 20 Teabags, Pack of 6, Total 120 Teabags",TAYLOR001 - 001,4,0,0.43,0.0,5,0,0.4,0.0,100.0,0.0,1,0,25.0,0.0,20.65,0.0,1,0,False,TAYLOR001 - 001,TAYLOR,25.0,20.65,5.1625,100.0,False,False
B0CH1LNQ4Y,B01IRDERGY,"MONIN Elderflower, 1.17 cl",MONINS41 - 002 Prime,10,0,1.07,0.0,13,0,1.04,0.0,100.0,0.0,1,0,10.0,0.0,13.68,0.0,1,0,True,MONINS41,MONINS,10.0,13.68,1.3679999999999999,100.0,False,False
B07XS8GKFC,B01LY54FZD,Belazu Rose Harissa 170 g (Pack of 2),SPI12AAAAAAAA,3,0,0.32,0.0,3,0,0.24,0.0,100.0,0.0,1,0,33.33,0.0,11.96,0.0,1,0,False,SPI12AAAAAAAA,SPI,33.33333333333333,11.96,3.986666666666667,100.0,False,False
B01N2OJ8RO,B01N2OJ8RO,Folkington's Cloudy Pear Juice 250 ml (Pack of 12),FOL02 - 002,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,23.39,0.0,1,0,False,FOL02 - 002,FOL,0.0,23.39,0.0,0.0,False,False
B073WRG21Q,B073WRG21Q,Callebaut Mycryo Pure Cocoa Butter Powder 600g,BAK24 - 002,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,36.21,0.0,1,0,False,BAK24 - 002,BAK,0.0,36.21,0.0,0.0,False,False
B076JJRGLT,B076JJRGLT,Folkingtons Orange Juice - 12x250ml,FOL05 - 002 Prime,5,0,0.53,0.0,6,0,0.48,0.0,100.0,0.0,1,0,20.0,0.0,25.25,0.0,1,0,True,FOL05,FOL,20.0,25.25,5.05,100.0,False,False
