SKU,Title,Sessions,Units,Conversion_%,Revenue_£,AOV_£
TATESO002A - 002 Prime,Tate & Lyle Fairtrade Light Brown Sugar 1kg,24.0,13.0,54.17,93.86,7.22
DRI15 - 001 Prime,Parkers Dried Apple Rings 1kg,24.0,13.0,54.17,214.11,16.47
NUT02 - 001 Prime,Ranson Roasted Nibbed Hazelnuts 1kg 2-4MM,61.0,33.0,54.1,644.27,19.52
NON40B - 001 Prime,"Anti-Bacterial Probe Wipes, Alcohol-Free, Quat-Free, 200 Wipes, Sheet Size: 12cm x 15cm",26.0,14.0,53.85,135.38,9.67
CAW07 - 003,Cawston Press | Kids Apple & Pear Juice | 6 x 3x200ml,15.0,8.0,53.33,165.36,20.67
TOP15 - 002 Prime,Colac Banana Topping Sauce 1kg (Pack of 2),32.0,17.0,53.12,419.39,24.67
OIL28 - 001 Prime,Leblanc Grapeseed Oil 1ltr,55.0,29.0,52.73,582.9,20.1
Bundle - 157 Prime,Centaur Bundle - Champagne & Tarragon Vinegar - 2 x 750ml,19.0,10.0,52.63,159.74,15.97
DRI12B - 001 Prime,"Buchanan Dried Fruits (Glace Cherries 1kg, Pack of 1)",40.0,21.0,52.5,256.41,12.21
VIN24,j leblanc Champagne Vinegar 50cl,29.0,15.0,51.72,195.9,13.06
SAL21 - 005 Prime,Le Guerandais Coarse Sea Salt 1kg X 12,41.0,21.0,51.22,768.95,36.62
SPI70 - 001,Global Harvest Wild Fennel Pollen Spice 28 g,61.0,31.0,50.82,776.55,25.05
FOL05 - 002 Prime,Folkingtons Orange Juice - 12x250ml,79.0,40.0,50.63,1010.0,25.25
FIREF004 - 005 Prime,"Firefly Still Botanical Drinks in Glass 330ml (Pack of 12) Lemon, Lime & Ginger",6.0,3.0,50.0,68.82,22.94
ORI20 - 006 Prime,Flying Goose Chilli Sauce Chicken 725 ml (Pack of 6),2.0,1.0,50.0,24.84,24.84
VAN03I,Taylor & Colledge Vanilla Bean Extract 100ml - Pack of 2,2.0,1.0,50.0,21.22,21.22
DES03 - 006,Barry Callebaut Milk Chocolate Mousse Powder 800G,6.0,3.0,50.0,67.65,22.55
MAJORS002 - 002,Major Gluten Free Vegetable Stock Powder Mix - 2x1kg,2.0,1.0,50.0,51.6,51.6
TATEMU002 - 001 Prime,Tate & Lyle FT Light Muscovado Sugar 500g,2.0,1.0,50.0,5.96,5.96
SPIPAP04 - 002,EL Avion Vintage Smoked Hot Paprika 75gm (Pack of 2),2.0,1.0,50.0,8.94,8.94
EAGERC001 - 002,Eager Cranberry Juice / 8 x 100cl Case,2.0,1.0,50.0,32.87,32.87
