(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0CCPJL4SC,B0CCPFNNJ1,Busch Meringue Drops 100gm,SWE03E - 001 Prime,41,1,0.10%,0.12%,46,1,0.09%,0.10%,97.78%,0.00%,4,0,9.76%,0.00%,£27.68,£0.00,4,0
B0CV7Z6WJX,B0CV7Z6WJX,Rude Health Gluten Free Oat Barista Drink 1ltr (Pack of 6),ALP09A - 002 Prime,14,0,0.04%,0.00%,16,0,0.03%,0.00%,100.00%,0.00%,5,0,35.71%,0.00%,£88.30,£0.00,4,0
B0D33ZG5LJ,B0D33T6QBJ,"Alpro - Milk For Professionals - 1ltr (4, Soya)",ALP01 - 002 Prime,6,0,0.02%,0.00%,8,0,0.02%,0.00%,100.00%,0.00%,4,0,66.67%,0.00%,£52.24,£0.00,4,0
B0D45NPK7W,B0D45NPK7W,Fresher's Bundle - ORANGE & BLACKCURRANT Drink - 2 X 5ltr (No Added Sugar),Bundle - 124 Prime,17,2,0.04%,0.24%,18,2,0.04%,0.19%,94.12%,50.00%,4,1,23.53%,50.00%,£86.92,£21.73,4,1
B0D6Z2ST61,B0D6Z2ST61,Essential Cuisine - VEAL JUS - 1kg - (Pack of 4),JUS01 - 002 Prime,5,0,0.01%,0.00%,5,0,0.01%,0.00%,100.00%,0.00%,4,0,80.00%,0.00%,£429.00,£0.00,4,0
B0DFMRZ5DP,B0DFMRZ5DP,La Perruche Rough Cut White Sugar Cubes 1kg - (Pack of 4),SUG16 - 002 Prime,7,1,0.02%,0.12%,9,1,0.02%,0.10%,100.00%,100.00%,4,1,57.14%,100.00%,£89.32,£22.33,4,1
B0DHD2H45F,B0DHD2H45F,Fondant Patissier (Belgofondant) 1kg,BAK30 - 001 Prime,27,2,0.07%,0.24%,47,2,0.09%,0.19%,97.37%,0.00%,6,3,22.22%,150.00%,£65.94,£32.97,4,1
B0DSGJXNKS,B0DSGJXNKS,Ambient Mixed Topped Muffins - 16 x 105gm (BBE 01/06/26),MUFFIN024 - 003 Prime,136,6,0.34%,0.73%,161,9,0.32%,0.88%,98.67%,100.00%,4,1,2.94%,16.67%,£90.24,£22.56,4,1
B0DZ2ZW2WZ,B0DZ2Z6586,Callebaut 823 Finest Belgian Milk Chocolate Couverture Callets 33.6% Cocoa 2.5kg,CAL03 - 010,244,7,0.62%,0.86%,327,8,0.66%,0.78%,75.33%,100.00%,4,0,1.64%,0.00%,£155.92,£0.00,4,0
B0F38KSDPY,B0F38KSDPY,KTC Crispy Fried Onions 6 x 400g – Original Branded Case Box of 6 Packs,ORI300C - 015,18,1,0.05%,0.12%,25,1,0.05%,0.10%,65.22%,0.00%,7,0,38.89%,0.00%,£137.83,£0.00,4,0
