(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions – Total,Sessions – Total – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B
B0BGPMD867,B0BGPMD867,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Bottle,OIL02H - 001,"1,084",15,5.27%,2.44%,"1,343",15,5.13%,1.76%,81.25%,0.00%,121,0,11.16%,0.00%,"£4,192.79",£0.00,112,0
B076B1NF1Q,B076B1NF1Q,Onion Powder & Garlic Powder 500g Each - Chef William - Large Shaker Jar,Chef William - 001 Uk shipping,361,3,1.76%,0.49%,423,4,1.62%,0.47%,99.48%,100.00%,41,0,11.36%,0.00%,£460.84,£0.00,41,0
B08GLW5WX9,B08FSRZJCW,LA ESPAÑOLA - Extra Virgin Olive Oil Made from 100% Spanish Olives. 5 l Tin,OIL02I - 001 One day,174,2,0.85%,0.33%,264,5,1.01%,0.59%,98.73%,100.00%,40,2,22.99%,100.00%,"£1,487.20",£74.36,35,1
B0DVS6YBJW,B0DVS6YBJW,Monin Premium Passionfruit Syrup for Cocktails and Mocktails Passionfruit Martini Flavouring Syrup 700ml,MONINS27 - 003,121,1,0.59%,0.16%,146,1,0.56%,0.12%,97.69%,100.00%,28,2,23.14%,200.00%,£405.72,£28.98,27,2
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001 uk shipping,106,2,0.52%,0.33%,143,2,0.55%,0.23%,99.21%,100.00%,27,2,25.47%,100.00%,£323.73,£23.98,25,1
B0CV151M43,B07FN52R4T,"Brown Bag Crisps - Smoked Bacon 40g Bags, Pack of 20",CRI35 - 002  One Day,45,0,0.22%,0.00%,52,0,0.20%,0.00%,100.00%,0.00%,24,0,53.33%,0.00%,£419.52,£0.00,23,0
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002 Prime,95,1,0.46%,0.16%,146,2,0.56%,0.23%,96.06%,100.00%,33,5,34.74%,500.00%,£676.17,£102.45,21,2
B0BJHNCG72,B0BJHNCG72,Mars 51 Grams Bars Chocolate Bars (24),CHO31B - 014,47,1,0.23%,0.16%,50,1,0.19%,0.12%,93.62%,0.00%,19,0,40.43%,0.00%,£392.35,£0.00,18,0
B0B8XHPF85,B09T3GDNGT,Rowse Runny Honey 3.17kg,HON27C - 002,95,1,0.46%,0.16%,146,2,0.56%,0.23%,96.06%,100.00%,20,1,21.05%,100.00%,£409.80,£20.49,16,1
B0B46GGBBP,B0B46GGBBP,Parkers Triple Lion Plain Uncooked Poppadoms 1kg,ACC01 - 001,106,2,0.52%,0.33%,143,2,0.55%,0.23%,99.21%,100.00%,16,0,15.09%,0.00%,£207.84,£0.00,15,0
B085S732DW,B085S732DW,Triple Lion Professional Chef's Fusilli Twists 100% Durum Wheat Semolina Pasta 3kg,PAS03 - 001,300,2,1.46%,0.33%,354,2,1.35%,0.23%,13.77%,0.00%,20,0,6.67%,0.00%,£199.80,£0.00,14,0
B0DPJF7N4F,B0B61CMDQY,"JACOB'S Mini Cheddars Red Leicester Grab Bag, 45 g (Pack of 30)",BAR29 - 002,31,1,0.15%,0.16%,33,1,0.13%,0.12%,74.19%,0.00%,14,1,45.16%,100.00%,£273.00,£19.50,14,1
B0D92QTWJ8,B0D92Q4179,"Jersey Dairy Luxury Soft Ice Cream & Thickshake Mix – 1 L Cartons (Pack of 6), Creamy Premium Ice Cream Base",UHT31B - 003 Prime,88,1,0.43%,0.16%,132,1,0.50%,0.12%,100.00%,0.00%,14,0,15.91%,0.00%,£411.46,£0.00,14,0
B0G2SVYYY4,B0G2SVYYY4,"NG & SF® High Activity Compressed Fresh Baker’s Yeast – 1 kg Block | Gluten-Free, Kosher & Halal | Fast-Acting Yeast for No-Time Dough Baking - current stock expiry 29/03/2026",BAK01B - 001,85,0,0.41%,0.00%,114,0,0.44%,0.00%,99.07%,0.00%,14,0,16.47%,0.00%,£167.86,£0.00,14,0
B0CWLM5T7R,B0CWLM5T7R,Elsinore Lumpfish Caviar 100gm (Pack of 6),ELSIN001 - 005 Prime,45,1,0.22%,0.16%,62,1,0.24%,0.12%,98.08%,100.00%,13,0,28.89%,0.00%,£454.87,£0.00,13,0
B0DF78TGHM,B0DF78TGHM,Maynards Bassetts Wine Gums 10 bags x 130g,SWE62 - 005 Prime,84,1,0.41%,0.16%,98,1,0.37%,0.12%,28.72%,100.00%,13,1,15.48%,100.00%,£247.00,£19.00,13,1
B015Y1X1D2,B015Y1X1D2,Goldenfry Original Gravy Granules 2kg,GRA05 - 004 Prime,62,0,0.30%,0.00%,81,0,0.31%,0.00%,82.43%,0.00%,14,3,22.58%,0.00%,£251.60,£53.70,12,1
B0FD4RX49B,B07QP6ZXRL,"Two Farmers Crisps, Lightly Salted Hand Cooked Crisps, Vegan and Vegetarian, Gluten Free, 100% Compostable Bags, 24 x 40g",CRI70 - 001 Prime,114,5,0.55%,0.81%,147,7,0.56%,0.82%,88.89%,33.33%,12,2,10.53%,40.00%,£288.00,£48.00,12,2
B0CVLG4MT9,B0CVLCWXB3,"Taylors Tea 1 x 20 Bags (1, Chamomile)",TAYLOR012 - 001 Prime,17,3,0.08%,0.49%,26,4,0.10%,0.47%,100.00%,100.00%,13,2,76.47%,66.67%,£103.61,£15.94,12,2
B0DFD3HJ7Z,B0DFD3HJ7Z,"Hazlemere Pure Goose Fat – 1kg, Premium Cooking, Roasting & Baking Fat",FAT00C - 001 Prime,31,0,0.15%,0.00%,43,0,0.16%,0.00%,100.00%,0.00%,12,0,38.71%,0.00%,£231.36,£0.00,12,0
B076JJRGLT,B076JJRGLT,Folkingtons Orange Juice - 12x250ml,FOL05 - 002 Prime,11,0,0.05%,0.00%,13,0,0.05%,0.00%,100.00%,0.00%,15,2,136.36%,0.00%,£398.66,£53.14,10,1
